activity_id,date,activity_time,description,user_name,user_id,role_name,role_id,transaction_id,transaction_name,customer_name,customer_id,transaction_type,operation_type,is_from_client_portal,app_source,notes
99381000031741001,2026-07-26,26/07/2026 11:28 AM,Invoice's data from 2026-06-01 to 2026-07-26 has been exported.,FAZAL,99381000025543005,Admin,99381000000000777,20,Invoice,,,export,updated,false,Zoho Books,
99381000031740771,2026-07-26,26/07/2026 10:25 AM,"Sales Orders ""SO-19468"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030879022,SO-19468,ALUVA SCALES INC,99381000000014794,salesorder,deleted,false,Zoho Books,
99381000031740535,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19465"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030870002,SO-19465,ESSAR WEIGHING SOLUTIONS,99381000009027130,salesorder,deleted,false,Zoho Books,
99381000031740534,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19455"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030842020,SO-19455,Minar scales,99381000004965219,salesorder,deleted,false,Zoho Books,
99381000031740533,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19454"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030838053,SO-19454,ARJUN'S POWERTECH,99381000012614034,salesorder,deleted,false,Zoho Books,
99381000031740532,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19433"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030776232,SO-19433,Victory Scales,99381000000231096,salesorder,deleted,false,Zoho Books,
99381000031740531,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19426"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030761899,SO-19426,Victory Scales,99381000000231096,salesorder,deleted,false,Zoho Books,
99381000031740530,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19432"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030735128,SO-19432,SAMSUI SCALE COMPANY,99381000014052005,salesorder,deleted,false,Zoho Books,
99381000031740529,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19415"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030741841,SO-19415,ELMASS’ Weighing & Automation Pvt. Ltd,99381000005074017,salesorder,deleted,false,Zoho Books,
99381000031740528,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19379"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030703874,SO-19379,ACE ELECTRONICS,99381000000084508,salesorder,deleted,false,Zoho Books,
99381000031740527,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19361"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030632408,SO-19361,ELMASS’ Weighing & Automation Pvt. Ltd,99381000005074017,salesorder,deleted,false,Zoho Books,
99381000031740526,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19357"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030632138,SO-19357,Sanoft Technologies Pvt Ltd,99381000009860101,salesorder,deleted,false,Zoho Books,
99381000031740525,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19342"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030597020,SO-19342,Kanpur ScaleCare Pvt Ltd,99381000001358611,salesorder,deleted,false,Zoho Books,
99381000031740524,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19330"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030586015,SO-19330,ZANAK INDUSTRIES,99381000030586006,salesorder,deleted,false,Zoho Books,
99381000031740523,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19322"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030572017,SO-19322,Annanya Industrial Equipments,99381000001505642,salesorder,deleted,false,Zoho Books,
99381000031740522,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19316"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030526459,SO-19316,MEEZAN ELECTRONIC SCALES PRIVATE LIMITED,99381000000112170,salesorder,deleted,false,Zoho Books,
99381000031740521,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19305"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030500028,SO-19305,SUPPLY ENTERPRISES,99381000015121047,salesorder,deleted,false,Zoho Books,
99381000031740520,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-19296"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000030498018,SO-19296,GK electronics,99381000000161200,salesorder,deleted,false,Zoho Books,
