Bill Date,Due Date,Bill ID,Accounts Payable,Vendor Name,Entity Discount Percent,Payment Terms,Payment Terms Label,Bill Number,PurchaseOrder,Currency Code,Exchange Rate,SubTotal,Total,Balance,TotalRetentionAmountFCY,TotalRetentionAmountBCY,TCS Amount,Vendor Notes,Terms & Conditions,Adjustment,Adjustment Description,Adjustment Account,Branch ID,Branch Name,Is Inclusive Tax,Submitted By,Approved By,Submitted Date,Approved Date,Bill Status,Created By,Product ID,MRP,Is Tax Calculated on Label Price,Item Name,Account,Account Code,Description,Quantity,Usage unit,Tax Amount,Item Total,Is Billable,Reference Invoice Type,Source of Supply,Destination of Supply,GST Treatment,GST Identification Number (GSTIN),TDS Calculation Type,TDS TaxID,TDS Name,TDS Percentage,TDS Section Code,TDS Section,TDS Amount,TCS Tax Name,TCS Percentage,Nature Of Collection,SKU,UPC,MPN,EAN,ISBN,Warehouse Name,Rate,Discount Type,Is Discount Before Tax,Discount,Discount Amount,HSN/SAC,Purchase Receive Number,Purchase Order Number,Bill Receive Status,Manually Received Quantity,Tax ID,Tax Name,Tax Percentage,Tax Type,Item TDS Name,Item TDS Percentage,Item TDS Amount,Item TDS Section Code,Item TDS Section,Item Exemption Code,Item Type,Batch ID,Batch Reference#,Manufacturer Batch#,Manufactured Date,Expiry Date,Quantity In,Serial Numbers,Reverse Charge Tax Name,Reverse Charge Tax Rate,Reverse Charge Tax Type,Supply Type,ITC Eligibility,Entity Discount Amount,Discount Account,Discount Account Code,Item Discount Account,Item Discount Account Code,Is Landed Cost,Customer Name,Project Name,CGST Rate %,SGST Rate %,IGST Rate %,CESS Rate %,CGST(FCY),SGST(FCY),IGST(FCY),CESS(FCY),CGST,SGST,IGST,CESS,Loaction,CF.Customs duty 
2019-05-13,2019-05-13,99381000000035012,Accounts Payable,PGS INN PRIVATE LIMITED-VEDANTA,0.00,0,Due on Receipt,M26,,INR,1.00,4200.00,4956.00,0.00,0.00,0.00,,,,0.00,Adjustment,,99381000000098082,Cochin,false,,,,,Paid,Shalima,,,FALSE,,Meeting Expenses,,hotel charges,7.00,,756.00,4200.00,false,,KL,KL,business_gst,32AAGCP3940F2ZO,item_level,,,0.00,,,0.000,,,,,,,,,,600.00,entity_level,true,0.00,0.0,,,,Not Received,0.00,99381000000006208,GST18,18.00,Tax Group,,,0.000,,,,service,,,,,,,,,,,,eligible,0.000,,,,,false,,,9.00,9.00,0.00,0.00,378.00,378.00,0.00,0.00,378.00,378.00,0.00,0.00,,
2019-05-14,2019-05-14,99381000000035034,Accounts Payable,PGS INN PRIVATE LIMITED-VEDANTA,0.00,0,Due on Receipt,M 27,,INR,1.00,9000.00,10620.00,0.00,0.00,0.00,,,,0.00,Adjustment,,99381000000098082,Cochin,false,,,,,Paid,Shalima,,,FALSE,,Meeting Expenses,,hotel ,15.00,,1620.00,9000.00,false,,KL,KL,business_gst,32AAGCP3940F2ZO,item_level,,,0.00,,,0.000,,,,,,,,,,600.00,entity_level,true,0.00,0.0,,,,Not Received,0.00,99381000000006208,GST18,18.00,Tax Group,,,0.000,,,,service,,,,,,,,,,,,eligible,0.000,,,,,false,,,9.00,9.00,0.00,0.00,810.00,810.00,0.00,0.00,810.00,810.00,0.00,0.00,,
2019-05-10,2019-05-10,99381000000035614,Accounts Payable,Ahammed Sha & Co.,0.00,0,Due on Receipt,34,,INR,1.00,26700.00,30390.00,0.00,0.00,0.00,,,,0.00,Adjustment,,99381000000098082,Cochin,false,,,,,Paid,Shalima,,,FALSE,,ROC Filing expenses,,ROC sr ,1.00,,3690.00,20500.00,false,,KL,KL,business_gst,32ALTPA9728P1ZE,item_level,,,0.00,,,0.000,,,,,,,,,,20500.00,entity_level,true,0.00,0.0,,,,Not Received,0.00,99381000000006208,GST18,18.00,Tax Group,,,0.000,,,,service,,,,,,,,,,,,eligible,0.000,,,,,false,,,9.00,9.00,0.00,0.00,1845.00,1845.00,0.00,0.00,1845.00,1845.00,0.00,0.00,,
2019-05-10,2019-05-10,99381000000035614,Accounts Payable,Ahammed Sha & Co.,0.00,0,Due on Receipt,34,,INR,1.00,26700.00,30390.00,0.00,0.00,0.00,,,,0.00,Adjustment,,99381000000098082,Cochin,false,,,,,Paid,Shalima,,,FALSE,,ROC Filing expenses,,govt fees,1.00,,0.00,6200.00,false,,KL,KL,business_gst,32ALTPA9728P1ZE,item_level,,,0.00,,,0.000,,,,,,,,,,6200.00,entity_level,true,0.00,0.0,,,,Not Received,0.00,99381000000006152,GST0,0.00,Tax Group,,,0.000,,,,service,,,,,,,,,,,,eligible,0.000,,,,,false,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
2019-06-03,2019-06-03,99381000000066651,Accounts Payable,MARY SHALET,0.00,0,Due on Receipt,april,,INR,1.00,55000.00,49500.00,0.00,0.00,0.00,,,,0.00,Adjustment,,99381000000098082,Cochin,false,,,,,Paid,Shalima,,,FALSE,,Rental Charges,,Rent ,1.00,,0.00,55000.00,false,,KL,KL,business_none,,entity_level,99381000000005028,Rent on land or furniture etc,10.00,194I,Section 194 I,5500.000,,,,,,,,,,55000.00,entity_level,true,0.00,0.0,,,,Not Received,0.00,,,,,,,,,,,service,,,,,,,,,,,,eligible,0.000,,,,,false,,,,,,,,,,,,,,,,
2019-06-19,2019-06-19,99381000000080003,Accounts Payable,Meezan electronic scales Pvt Ltd,0.00,0,Due on Receipt,203,,INR,1.00,6047165.00,7135654.70,0.00,0.00,0.00,,,,0.00,Adjustment,,99381000000098082,Cochin,false,,,,,Paid,Shalima,99381000000011617,,FALSE,Receipt Printing scale,Inventory Asset,,,500.00,nos,912870.00,5071500.00,false,,KL,KL,business_gst,32AAECM1277C1ZY,item_level,,,0.00,,,0.000,,,,ECS5W,,,,,Cochin,10143.00,entity_level,true,0.00,0.0,84231000,,,Received,500.00,99381000000006208,GST18,18.00,Tax Group,,,0.000,,,,goods,,,,,,,,,,,,eligible,0.000,,,,,false,,,9.00,9.00,0.00,0.00,456435.00,456435.00,0.00,0.00,456435.00,456435.00,0.00,0.00,,
2019-06-19,2019-06-19,99381000000080003,Accounts Payable,Meezan electronic scales Pvt Ltd,0.00,0,Due on Receipt,203,,INR,1.00,6047165.00,7135654.70,0.00,0.00,0.00,,,,0.00,Adjustment,,99381000000098082,Cochin,false,,,,,Paid,Shalima,99381000000035236,,FALSE,Floor scales 1Mx1M,Inventory Asset,,,100.00,nos,145188.00,806600.00,false,,KL,KL,business_gst,32AAECM1277C1ZY,item_level,,,0.00,,,0.000,,,,PLT1000,,,,,Cochin,8066.00,entity_level,true,0.00,0.0,84239020,,,Received,100.00,99381000000006208,GST18,18.00,Tax Group,,,0.000,,,,goods,,,,,,,,,,,,eligible,0.000,,,,,false,,,9.00,9.00,0.00,0.00,72594.00,72594.00,0.00,0.00,72594.00,72594.00,0.00,0.00,,
2019-06-19,2019-06-19,99381000000080003,Accounts Payable,Meezan electronic scales Pvt Ltd,0.00,0,Due on Receipt,203,,INR,1.00,6047165.00,7135654.70,0.00,0.00,0.00,,,,0.00,Adjustment,,99381000000098082,Cochin,false,,,,,Paid,Shalima,99381000000035245,,FALSE,Floor scale 1200x1200,Inventory Asset,,,10.00,nos,18333.00,101850.00,false,,KL,KL,business_gst,32AAECM1277C1ZY,item_level,,,0.00,,,0.000,,,,PLT1200,,,,,Cochin,10185.00,entity_level,true,0.00,0.0,84239020,,,Received,10.00,99381000000006208,GST18,18.00,Tax Group,,,0.000,,,,goods,,,,,,,,,,,,eligible,0.000,,,,,false,,,9.00,9.00,0.00,0.00,9166.50,9166.50,0.00,0.00,9166.50,9166.50,0.00,0.00,,
2019-06-19,2019-06-19,99381000000080003,Accounts Payable,Meezan electronic scales Pvt Ltd,0.00,0,Due on Receipt,203,,INR,1.00,6047165.00,7135654.70,0.00,0.00,0.00,,,,0.00,Adjustment,,99381000000098082,Cochin,false,,,,,Paid,Shalima,99381000000035254,,FALSE,Floor scale 1500x1500,Inventory Asset,,,5.00,nos,12098.70,67215.00,false,,KL,KL,business_gst,32AAECM1277C1ZY,item_level,,,0.00,,,0.000,,,,PLT1500,,,,,Cochin,13443.00,entity_level,true,0.00,0.0,84239020,,,Received,5.00,99381000000006208,GST18,18.00,Tax Group,,,0.000,,,,goods,,,,,,,,,,,,eligible,0.000,,,,,false,,,9.00,9.00,0.00,0.00,6049.35,6049.35,0.00,0.00,6049.35,6049.35,0.00,0.00,,
2019-06-07,2019-06-07,99381000000081001,Accounts Payable,YOOSHA ERGONOMICS PRIVATE LIMITED,0.00,0,Due on Receipt,YS 1920-1223,,INR,1.00,98182.00,115855.00,0.00,0.00,0.00,,,,0.24,Adjustment,Other Expenses,99381000000098082,Cochin,false,,,,,Paid,Shalima,,,FALSE,,Furniture and Fittings,,CHAIR,1.00,,17672.76,98182.00,false,,KL,KL,business_gst,32AAACY7259G1Z8,item_level,,,0.00,,,0.000,,,,,,,,,,98182.00,entity_level,true,0.00,0.0,,,,Not Received,0.00,99381000000006208,GST18,18.00,Tax Group,,,0.000,,,,service,,,,,,,,,,,,eligible,0.000,,,,,false,,,9.00,9.00,0.00,0.00,8836.38,8836.38,0.00,0.00,8836.38,8836.38,0.00,0.00,,
