Credit Note Date,Issued Date,Product ID,Issued Date,CreditNotes ID,Credit Note Number,Credit Note Status,Accounts Receivable,Customer Name,Billing Attention,Billing Address,Billing Street 2,Billing City,Billing State,Billing Country,Billing Code,Billing Phone,Billing Fax,Shipping Attention,Shipping Address,Shipping Street 2,Shipping City,Shipping State,Shipping Country,Shipping Phone,Shipping Code,Shipping Fax,Is Export Without LUT/Bond,Tax Collected From Customer,Customer ID,Currency Code,Exchange Rate,Is Inclusive Tax,Total,Balance,Entity Discount Percent,Notes,Terms & Conditions,Reference#,Shipping Charge,Shipping Charge Tax ID,Shipping Charge Tax Amount,Shipping Charge Tax Name,Shipping Charge Tax %,Shipping Charge Tax Type,Shipping Charge Tax Exemption Code,Shipping Charge SAC Code,Shipping Charge Account,Adjustment,Adjustment Account,Branch ID,e-Invoice Status,e-Invoice Reference Number,TCS Amount,Associated Invoice Number,Associated Invoice Date,TDS Amount,TDS Name,TDS Section Code,TDS Section,TDS Percentage,E-WayBill Number,E-WayBill Generated Time,E-WayBill Status,E-WayBill Cancelled Time,E-WayBill Expired Time,Transporter Name,Transporter ID,Dispatch Attention,Dispatch Address,Dispatch Street2,Dispatch City,Dispatch State,Dispatch Country,Dispatch Code,Dispatch Phone,Is Discount Before Tax,Item Name,Is Tax Calculated on Label Price,Discount,Discount Amount,Quantity,Item Desc,Item Tax Amount,Item Total,Applied Invoice Number,Branch Name,CGST Rate %,SGST Rate %,IGST Rate %,CESS Rate %,CGST(FCY),SGST(FCY),IGST(FCY),CESS(FCY),CGST,SGST,IGST,CESS,Reason,Project ID,Project Name,e-Invoice QRJson,e-Invoice QR Raw Data,e-Invoice Ack Number,e-Invoice Ack Date,e-Invoice Cancel Remark,e-Invoice Cancel Reason,e-Invoice Failure Reason,Supplier Org Name,Supplier GST Registration Number,Supplier Street Address,Supplier City,Supplier State,Supplier Country,Supplier ZipCode,Supplier Phone,Supplier E-Mail,Supply Type,Tax1 ID,Item Tax,Item Tax %,Item Tax Type,Reverse Charge Tax Name,Reverse Charge Tax Rate,Reverse Charge Tax Type,Item TDS Name,Item TDS Percentage,Item TDS Amount,Item TDS Section Code,Item TDS Section,Place of Supply(With State Code),GST Treatment,GST Identification Number (GSTIN),TCS Tax Name,TCS Percentage,Nature Of Collection,Sales person,Discount Type,Place of Supply,SubTotal,Round Off,Adjustment Description,Reference Invoice Type,Item Type,Template Name,Usage unit,Item Price,HSN/SAC,Account,Account Code,SKU,UPC,MPN,EAN,ISBN,Batch ID,Batch Reference#,Manufacturer Batch#,Manufactured Date,Expiry Date,MRP,Quantity In,Serial Numbers,Loaction,Item Tax Exemption Reason,Entity Discount Amount,Warehouse Name,Kit Combo Item Name,Item.CF.No of pcs in Master carton
2020-05-29,,99381000000562023,,99381000000929235,CN-00001,Closed,Accounts Receivable,TRANSWORLD SCALES SERVICES,,Transworld Scales Services,Beach Road,Kollam,kerala,India,691001,9446332381,,,Transworld Scales Services,Beach Road,Kollam,Kerala,India,9446332381,691001,,NO,NO,99381000000102001,INR,1.00,false,42480.00,0.00,0.00,,,YS587,0.00,,,,,,,,,0.00,,99381000000098082,Yet To Be Pushed,,,YS587,2020-05-25,0.000,,,,0.00,,,,,,,,,,,,,,,,true,Table Top Scale  250x300 M,FALSE,0.00,0.0,20.00,"Make : YESWEIGH Model : YST-30
Max: 30kg e: 5g  Min:100g Class III",6480.00,36000.00,YS717,Cochin,9.00,9.00,0.00,0.00,3240.00,3240.00,0.00,0.00,3240.00,3240.00,0.00,0.00,Sales Return,,,,,,,,,,INTERWEIGHING PVT LTD,32AAFCI1950F1ZZ,3PL Warehouse : C/O LOGIWIZ LOGISTICS INDIA PVT LTD,COCHIN,Kerala,India,683503,8803333444,admin@yesweigh.in,Taxable,99381000000006208,GST18,18.00,Tax Group,,,,,,0.000,,,32-Kerala,business_gst,32AWCPS0193C1ZX,,,,,entity_level,KL,36000.00,0.00,Adjustment,,goods,Spreadsheet Template,nos,1800.00,84231000,Sales,,TTSTDM,,,,,,,,,,,,,,,0.000,Cochin,,
2020-05-30,,99381000000016068,,99381000000933408,CN-00003,Closed,Accounts Receivable,Dynamic Enterprises,,XIV/217C SUNRISE BUILDING,MARKET. IRINJALAKKUDA PO,THRISSUR,Kerala,India,680121,,,,XIV/217 C SUNRISE BUILDING,"MARKET, IRINJALAKUDA PO",THRISSUR,Kerala,India,,680121,,NO,NO,99381000000151001,INR,1.00,false,1180.00,0.00,0.00,,,,0.00,,,,,,,,,0.00,,99381000000098082,Yet To Be Pushed,,,YS597,2020-05-26,0.000,,,,0.00,,,,,,,,,,,,,,,,true,Platform scale,FALSE,0.00,0.0,1.00,"Make: YESWEIGH  Model:YSP-50
Max:50kg  e:5g  Min:100g  Class:III
Serial No:TE8143",180.00,1000.00,YS772,Cochin,9.00,9.00,0.00,0.00,90.00,90.00,0.00,0.00,90.00,90.00,0.00,0.00,Deficiency in service,,,,,,,,,,INTERWEIGHING PVT LTD,32AAFCI1950F1ZZ,3PL Warehouse : C/O LOGIWIZ LOGISTICS INDIA PVT LTD,COCHIN,Kerala,India,683503,8803333444,admin@yesweigh.in,Taxable,99381000000006208,GST18,18.00,Tax Group,,,,,,0.000,,,32-Kerala,business_gst,32ATJPS7075B1ZN,,,,,entity_level,KL,1000.00,0.00,Adjustment,,goods,Spreadsheet Template,nos,1000.00,84231000,Sales,,BENCHPC,,,,,,,,,,,,,,,0.000,Cochin,,
2020-06-24,,99381000000035362,,99381000001017877,CN-00004,Closed,Accounts Receivable,DIGITAL SCALE,,"Near Stadium,",Mukkam Road,"Areekode, Malappuram",kerala,,673639,9745204910,,,"Near Stadium,",Mukkam Road,"Areekode, Malappuram",kerala,,9745204910,673639,,NO,NO,99381000000136578,INR,1.00,false,69030.00,0.00,0.00,,,YS631,0.00,,,,,,,,,0.00,,99381000000098082,Yet To Be Pushed,,,YS631,2020-06-01,0.000,,,,0.00,,,,,,,,,,,,,,,,true,Price Computing Scale-T,FALSE,0.00,0.0,30.00,Make: YESWEIGH Model:YSP-20  Max:20kg  e:2g  Min:40g  Class:III,10530.00,58500.00,"YS931,YS934",Cochin,9.00,9.00,0.00,0.00,5265.00,5265.00,0.00,0.00,5265.00,5265.00,0.00,0.00,Sales Return,,,,,,,,,,INTERWEIGHING PVT LTD,32AAFCI1950F1ZZ,3PL Warehouse : C/O LOGIWIZ LOGISTICS INDIA PVT LTD,COCHIN,Kerala,India,683503,8803333444,admin@yesweigh.in,Taxable,99381000000006208,GST18,18.00,Tax Group,,,,,,0.000,,,32-Kerala,business_gst,32AOLPN0287R2ZA,,,,Swathy,entity_level,KL,58500.00,0.00,Adjustment,,goods,Spreadsheet Template,nos,1950.00,84231000,Sales,,ATMPCT,,,,,,,,,,,,,,,0.000,Cochin,,
2020-06-30,,99381000000343208,,99381000001039301,CN-00005,Closed,Accounts Receivable,E WAY SOLUTIONS,,"Door No. 26/755, 756.
Radha Devi Building
Karuvattam",Cherpulassery,Palakkad,Kerala,India,679503,9946897865,,,"19/313 P7, Tass Accard",Chemakathazham,Kozhikode,Kerala,India,9946897865,673002,,NO,NO,99381000000601025,INR,1.00,false,2832.00,0.00,0.00,,,,0.00,,,,,,,,,0.00,,99381000000098082,Yet To Be Pushed,,,YS779,2020-06-27,0.000,,,,0.00,,,,,,,,,,,,,,,,true,Cash Box,FALSE,0.00,0.0,1.00,,432.00,2400.00,YS785,Cochin,9.00,9.00,0.00,0.00,216.00,216.00,0.00,0.00,216.00,216.00,0.00,0.00,Sales Return,,,,,,,,,,INTERWEIGHING PVT LTD,32AAFCI1950F1ZZ,3PL Warehouse : C/O LOGIWIZ LOGISTICS INDIA PVT LTD,COCHIN,Kerala,India,683503,8803333444,admin@yesweigh.in,Taxable,99381000000006208,GST18,18.00,Tax Group,,,,,,0.000,,,32-Kerala,business_gst,32BDLPA5497A1ZV,,,,,entity_level,KL,2400.00,0.00,Adjustment,,goods,Spreadsheet Template,nos,2400.00,84239020,Sales,,ECSCD,,,,,,,,,,,,,,,0.000,Cochin,,
2020-07-01,,99381000000194633,,99381000001053005,CN-00006,Closed,Accounts Receivable,EXATA BALANCE CO,Mr. Hisham,"Muringathazham Road, Vattappara",Valanchery,Malappuram,Kerala,India,676552,9961858453,,Mr. Hisham,"Muringathazham Road, Vattappara",Valanchery,Malappuram,Kerala,India,9961858453,676552,,NO,NO,99381000000017031,INR,1.00,false,19470.00,0.00,0.00,,,YS782,0.00,,,,,,,,,0.00,,99381000000098082,Yet To Be Pushed,,,YS782,2020-06-29,0.000,,,,0.00,,,,,,,,,,,,,,,,true,Label Printing scale Q8LBL,FALSE,0.00,0.0,1.00,Make:YESWEIGH  Model:YS-30   Max:30kg  e:5g  Min:100g  Class:III,2970.00,16500.00,YS793,Cochin,9.00,9.00,0.00,0.00,1485.00,1485.00,0.00,0.00,1485.00,1485.00,0.00,0.00,Sales Return,,,,,,,,,,INTERWEIGHING PVT LTD,32AAFCI1950F1ZZ,3PL Warehouse : C/O LOGIWIZ LOGISTICS INDIA PVT LTD,COCHIN,Kerala,India,683503,8803333444,admin@yesweigh.in,Taxable,99381000000006208,GST18,18.00,Tax Group,,,,,,0.000,,,32-Kerala,business_gst,32AAGFE6830Q1Z4,,,,Swathy,entity_level,KL,16500.00,0.00,Adjustment,,goods,Spreadsheet Template,nos,16500.00,84231000,Sales,,Q8LBL,,,,,,,,,,,,,,,0.000,Cochin,,
2020-07-02,,99381000000035362,,99381000001055213,CN-00007,Closed,Accounts Receivable,DIGITAL SCALE,,Modern Instruments,,Nilambur,kerala,,679329,9745204910,,,"Near Stadium,",Mukkam Road,"Areekode, Malappuram",kerala,,9745204910,673639,,NO,NO,99381000000136578,INR,1.00,false,23010.00,0.00,0.00,,,YS631,0.00,,,,,,,,,0.00,,99381000000098082,Yet To Be Pushed,,,YS631,2020-06-01,0.000,,,,0.00,,,,,,,,,,,,,,,,true,Price Computing Scale-T,FALSE,0.00,0.0,10.00,Make: YESWEIGH Model:YSP-20  Max:20kg  e:2g  Min:40g  Class:III,3510.00,19500.00,"YS905,YS931",Cochin,9.00,9.00,0.00,0.00,1755.00,1755.00,0.00,0.00,1755.00,1755.00,0.00,0.00,Sales Return,,,,,,,,,,INTERWEIGHING PVT LTD,32AAFCI1950F1ZZ,3PL Warehouse : C/O LOGIWIZ LOGISTICS INDIA PVT LTD,COCHIN,Kerala,India,683503,8803333444,admin@yesweigh.in,Taxable,99381000000006208,GST18,18.00,Tax Group,,,,,,0.000,,,32-Kerala,business_gst,32AOLPN0287R2ZA,,,,Swathy,entity_level,KL,19500.00,0.00,Adjustment,,goods,Spreadsheet Template,nos,1950.00,84231000,Sales,,ATMPCT,,,,,,,,,,,,,,,0.000,Cochin,,
2020-07-02,,99381000000035362,,99381000001055243,CN-00008,Closed,Accounts Receivable,DIGITAL SCALE,,Modern Instruments,,Nilambur,kerala,,679329,9745204910,,,"Near Stadium,",Mukkam Road,"Areekode, Malappuram",kerala,,9745204910,673639,,NO,NO,99381000000136578,INR,1.00,false,115050.00,0.00,0.00,,,YS521,0.00,,,,,,,,,0.00,,99381000000098082,Yet To Be Pushed,,,YS521,2020-05-02,0.000,,,,0.00,,,,,,,,,,,,,,,,true,Price Computing Scale-T,FALSE,0.00,0.0,50.00,Make: YESWEIGH Model:YSP-20  Max:20kg  e:2g  Min:40g  Class:III,17550.00,97500.00,YS931,Cochin,9.00,9.00,0.00,0.00,8775.00,8775.00,0.00,0.00,8775.00,8775.00,0.00,0.00,Sales Return,,,,,,,,,,INTERWEIGHING PVT LTD,32AAFCI1950F1ZZ,3PL Warehouse : C/O LOGIWIZ LOGISTICS INDIA PVT LTD,COCHIN,Kerala,India,683503,8803333444,admin@yesweigh.in,Taxable,99381000000006208,GST18,18.00,Tax Group,,,,,,0.000,,,32-Kerala,business_gst,32AOLPN0287R2ZA,,,,Swathy,entity_level,KL,97500.00,0.00,Adjustment,,goods,Spreadsheet Template,nos,1950.00,84231000,Sales,,ATMPCT,,,,,,,,,,,,,,,0.000,Cochin,,
2020-08-12,,99381000000735165,,99381000001237254,CN-00011,Closed,Accounts Receivable,DIGITAL SCALE,,"Near Stadium,",Mukkam Road,"Areekode, Malappuram",kerala,,673639,9745204910,,,"Near Stadium,",Mukkam Road,"Areekode, Malappuram",kerala,,9745204910,673639,,NO,NO,99381000000136578,INR,1.00,false,17700.00,0.00,0.00,,,YS934,0.00,,,,,,,,,0.00,,99381000000098082,Yet To Be Pushed,,,YS934,2020-08-04,0.000,,,,0.00,,,,,,,,,,,,,,,,true,Label Printing scale Q9,FALSE,0.00,0.0,1.00,"Make:YESWEIGH  Model:YS-30   Max:30kg  e:5g  Min:100g  Class:III
Serial No:TH13114 & TH13115",2700.00,15000.00,YS934,Cochin,9.00,9.00,0.00,0.00,1350.00,1350.00,0.00,0.00,1350.00,1350.00,0.00,0.00,Sales Return,,,,,,,,,,INTERWEIGHING PVT LTD,32AAFCI1950F1ZZ,3PL Warehouse : C/O LOGIWIZ LOGISTICS INDIA PVT LTD,COCHIN,Kerala,India,683503,8803333444,admin@yesweigh.in,Taxable,99381000000006208,GST18,18.00,Tax Group,,,,,,0.000,,,32-Kerala,business_gst,32AOLPN0287R2ZA,,,,,entity_level,KL,15000.00,0.00,Adjustment,,goods,Spreadsheet Template,nos,15000.00,84231000,Sales,,TMAQ9,,,,,,,,,,,,,,,0.000,Cochin,,
2020-09-03,,99381000000035371,,99381000001335665,CN-00012,Closed,Accounts Receivable,ACCURATE TRADE LINKS,Harish,Future Centre,Ottukuzhi Road,Trivandrum,Kerala,India,695001,9847141007,,Harish,Future Centre,Ottukuzhi Road,Trivandrum,Kerala,India,9847141007,695001,,NO,NO,99381000000114383,INR,1.00,false,11505.00,0.00,0.00,,,,0.00,,,,,,,,,0.00,,99381000000098082,Yet To Be Pushed,,,YS954,2020-08-07,0.000,,,,0.00,,,,,,,,,,,,,,,,true,Price Computing Scale-W,FALSE,0.00,0.0,5.00,"Make: YESWEIGH Model: YSP-20
Max:20kg  e:2g  Min:40g  Class:III
Serial No:TH14137 To TH14166",1755.00,9750.00,YS1059,Cochin,9.00,9.00,0.00,0.00,877.50,877.50,0.00,0.00,877.50,877.50,0.00,0.00,Sales Return,,,,,,,,,,INTERWEIGHING PVT LTD,32AAFCI1950F1ZZ,3PL Warehouse : C/O LOGIWIZ LOGISTICS INDIA PVT LTD,COCHIN,Kerala,India,683503,8803333444,admin@yesweigh.in,Taxable,99381000000006208,GST18,18.00,Tax Group,,,,,,0.000,,,32-Kerala,business_gst,32AHJPK1741Q1Z4,,,,,entity_level,KL,9750.00,0.00,Adjustment,,goods,Spreadsheet Template,nos,1950.00,84231000,Sales,,ATMPCW,,,,,,,,,,,,,,,0.000,Cochin,,
2020-09-21,,99381000000016068,,99381000001419041,CN-00014,Closed,Accounts Receivable,G Tech Automation,,"First Floor, Room No.XVII/563","Gopi sadanam building, Temple Road(Near children's library)",Kottayam,Kerala,India,686001,9495977119,,,"First Floor, Room No.XVII/563","Gopi sadanam building, Temple Road(Near children's library)",Kottayam,Kerala,India,9495977119,686001,,NO,NO,99381000000838011,INR,1.00,false,188951.04,0.00,0.00,,,,0.00,,,,,,,,,0.00,,99381000000098082,Yet To Be Pushed,,,YS1221,2020-09-19,0.000,,,,0.00,561203669956,21/09/2020 02:32:00 PM,Generated,,,ST COURIER PVT LTD,33ABACS1175L1ZC,,,,,,,,,true,Platform scale,FALSE,0.00,0.0,48.00,"Make: YESWEIGH  Model:YSP-50
Max:50kg  e:5g  Min:100g  Class:III
Serial No:TI19735 To TI19782",17971.20,99840.00,YS1221,Cochin,9.00,9.00,0.00,0.00,8985.60,8985.60,0.00,0.00,8985.60,8985.60,0.00,0.00,Sales Return,,,,,,,,,,INTERWEIGHING PVT LTD,32AAFCI1950F1ZZ,3PL Warehouse : C/O LOGIWIZ LOGISTICS INDIA PVT LTD,COCHIN,Kerala,India,683503,8803333444,admin@yesweigh.in,Taxable,99381000000006208,GST18,18.00,Tax Group,,,,,,0.000,,,32-Kerala,business_gst,32AUTPG0755F1ZQ,,,,,entity_level,KL,160128.00,0.00,Adjustment,,goods,Spreadsheet Template,nos,2080.00,84231000,Sales,,BENCHPC,,,,,,,,,,,,,,,0.000,Cochin,,
2020-09-21,,99381000000016031,,99381000001419041,CN-00014,Closed,Accounts Receivable,G Tech Automation,,"First Floor, Room No.XVII/563","Gopi sadanam building, Temple Road(Near children's library)",Kottayam,Kerala,India,686001,9495977119,,,"First Floor, Room No.XVII/563","Gopi sadanam building, Temple Road(Near children's library)",Kottayam,Kerala,India,9495977119,686001,,NO,NO,99381000000838011,INR,1.00,false,188951.04,0.00,0.00,,,,0.00,,,,,,,,,0.00,,99381000000098082,Yet To Be Pushed,,,YS1221,2020-09-19,0.000,,,,0.00,561203669956,21/09/2020 02:32:00 PM,Generated,,,ST COURIER PVT LTD,33ABACS1175L1ZC,,,,,,,,,true,Price Computing scale,FALSE,0.00,0.0,30.00,"Make: YESWEIGH  Model:YSP-20
Max:20kg  e:2g  Min:40g  Class:III
Serial No:TI19783 To TI19812",10152.00,56400.00,YS1221,Cochin,9.00,9.00,0.00,0.00,5076.00,5076.00,0.00,0.00,5076.00,5076.00,0.00,0.00,Sales Return,,,,,,,,,,INTERWEIGHING PVT LTD,32AAFCI1950F1ZZ,3PL Warehouse : C/O LOGIWIZ LOGISTICS INDIA PVT LTD,COCHIN,Kerala,India,683503,8803333444,admin@yesweigh.in,Taxable,99381000000006208,GST18,18.00,Tax Group,,,,,,0.000,,,32-Kerala,business_gst,32AUTPG0755F1ZQ,,,,,entity_level,KL,160128.00,0.00,Adjustment,,goods,Spreadsheet Template,nos,1880.00,84231000,Sales,,ATMPC,,,,,,,,,,,,,,,0.000,Cochin,,
2020-09-21,,99381000000557009,,99381000001419041,CN-00014,Closed,Accounts Receivable,G Tech Automation,,"First Floor, Room No.XVII/563","Gopi sadanam building, Temple Road(Near children's library)",Kottayam,Kerala,India,686001,9495977119,,,"First Floor, Room No.XVII/563","Gopi sadanam building, Temple Road(Near children's library)",Kottayam,Kerala,India,9495977119,686001,,NO,NO,99381000000838011,INR,1.00,false,188951.04,0.00,0.00,,,,0.00,,,,,,,,,0.00,,99381000000098082,Yet To Be Pushed,,,YS1221,2020-09-19,0.000,,,,0.00,561203669956,21/09/2020 02:32:00 PM,Generated,,,ST COURIER PVT LTD,33ABACS1175L1ZC,,,,,,,,,true,Freight Charges,FALSE,0.00,0.0,312.00,,505.44,2808.00,YS1221,Cochin,9.00,9.00,0.00,0.00,252.72,252.72,0.00,0.00,252.72,252.72,0.00,0.00,Sales Return,,,,,,,,,,INTERWEIGHING PVT LTD,32AAFCI1950F1ZZ,3PL Warehouse : C/O LOGIWIZ LOGISTICS INDIA PVT LTD,COCHIN,Kerala,India,683503,8803333444,admin@yesweigh.in,Taxable,99381000000006208,GST18,18.00,Tax Group,,,,,,0.000,,,32-Kerala,business_gst,32AUTPG0755F1ZQ,,,,,entity_level,KL,160128.00,0.00,Adjustment,,service,Spreadsheet Template,kg,9.00,9968,Sales,,COCS,,,,,,,,,,,,,,,0.000,,,
2020-09-21,,99381000000557009,,99381000001419041,CN-00014,Closed,Accounts Receivable,G Tech Automation,,"First Floor, Room No.XVII/563","Gopi sadanam building, Temple Road(Near children's library)",Kottayam,Kerala,India,686001,9495977119,,,"First Floor, Room No.XVII/563","Gopi sadanam building, Temple Road(Near children's library)",Kottayam,Kerala,India,9495977119,686001,,NO,NO,99381000000838011,INR,1.00,false,188951.04,0.00,0.00,,,,0.00,,,,,,,,,0.00,,99381000000098082,Yet To Be Pushed,,,YS1221,2020-09-19,0.000,,,,0.00,561203669956,21/09/2020 02:32:00 PM,Generated,,,ST COURIER PVT LTD,33ABACS1175L1ZC,,,,,,,,,true,Freight Charges,FALSE,0.00,0.0,120.00,,194.40,1080.00,YS1221,Cochin,9.00,9.00,0.00,0.00,97.20,97.20,0.00,0.00,97.20,97.20,0.00,0.00,Sales Return,,,,,,,,,,INTERWEIGHING PVT LTD,32AAFCI1950F1ZZ,3PL Warehouse : C/O LOGIWIZ LOGISTICS INDIA PVT LTD,COCHIN,Kerala,India,683503,8803333444,admin@yesweigh.in,Taxable,99381000000006208,GST18,18.00,Tax Group,,,,,,0.000,,,32-Kerala,business_gst,32AUTPG0755F1ZQ,,,,,entity_level,KL,160128.00,0.00,Adjustment,,service,Spreadsheet Template,kg,9.00,9968,Sales,,COCS,,,,,,,,,,,,,,,0.000,,,
2020-09-29,,99381000000302452,,99381000001472345,CN-00015,Closed,Accounts Receivable,Dynamic Enterprises,,XIV/217C SUNRISE BUILDING,MARKET. IRINJALAKKUDA PO,THRISSUR,Kerala,India,680121,,,,XIV/217C SUNRISE BUILDING,MARKET. IRINJALAKKUDA PO,THRISSUR,Kerala,India,,680121,,NO,NO,99381000000151001,INR,1.00,false,45312.00,0.00,0.00,,,,0.00,,,,,,,,,0.00,,99381000000098082,Yet To Be Pushed,,,YS1234,2020-09-22,0.000,,,,0.00,,,,,,,,,,,,,,,,true,CCM  - Value Counting Machine,FALSE,0.00,0.0,6.00,,6912.00,38400.00,YS1234,Cochin,9.00,9.00,0.00,0.00,3456.00,3456.00,0.00,0.00,3456.00,3456.00,0.00,0.00,Sales Return,,,,,,,,,,INTERWEIGHING PVT LTD,32AAFCI1950F1ZZ,3PL Warehouse : C/O LOGIWIZ LOGISTICS INDIA PVT LTD,COCHIN,Kerala,India,683503,8803333444,admin@yesweigh.in,Taxable,99381000000006208,GST18,18.00,Tax Group,,,,,,0.000,,,32-Kerala,business_gst,32ATJPS7075B1ZN,,,,,entity_level,KL,38400.00,0.00,Adjustment,,goods,Spreadsheet Template,nos,6400.00,84729090,Sales,,AL66,,,,,,,,,,,,,,,0.000,Cochin,,
2020-09-30,,99381000000035236,,99381000001486129,CN-00016,Closed,Accounts Receivable,ELMASS SYSTEMS & SERVICES,,"70/1955 /old 44/2214A5, Martin Eva Holy Tuesday Shopping Mall,
Banerji Road, Mathrubhoomi Jn.",,Ernakulam,Kerala,India,682017,98479 96372,,,"Souhruda Lane
Lissie Hospital Road",,Ernakulam,Kerala,India,98479 96372,682018,,NO,NO,99381000000084733,INR,1.00,false,59000.00,0.00,0.00,,,,0.00,,,,,,,,,0.00,,99381000000098082,Yet To Be Pushed,,,YS1090,2020-09-05,0.000,,,,0.00,,,,,,,,,,,,,,,,true,Floor Scale 1mx1m,FALSE,0.00,0.0,5.00,"Make: YES WEIGH  Model:YSP-1000 Max:1000kg  e:100g  Min:2kg  Class:III
Serial No:TI17321 To TI17325",9000.00,50000.00,"YS1290,YS1310",Cochin,9.00,9.00,0.00,0.00,4500.00,4500.00,0.00,0.00,4500.00,4500.00,0.00,0.00,Sales Return,,,,,,,,,,INTERWEIGHING PVT LTD,32AAFCI1950F1ZZ,3PL Warehouse : C/O LOGIWIZ LOGISTICS INDIA PVT LTD,COCHIN,Kerala,India,683503,8803333444,admin@yesweigh.in,Taxable,99381000000006208,GST18,18.00,Tax Group,,,,,,0.000,,,32-Kerala,business_gst,32AACFE8918M1Z7,,,,,entity_level,KL,50000.00,0.00,Adjustment,,goods,Spreadsheet Template,nos,10000.00,84239020,Sales,,PLT1000,,,,,,,,,,,,,,,0.000,Cochin,,
2020-11-04,,99381000001247038,,99381000001697285,CN-00017,Closed,Accounts Receivable,M/S HIM Enterprises,,"Pungh, Pungh",Sundernagar,Mandi,Himachal Pradesh,India,175018,9816133667,,,"Pungh, Pungh",Sundernagar,Mandi,Himachal Pradesh,India,9816133667,175018,,NO,NO,99381000001413298,INR,1.00,false,2113.00,0.00,0.00,,,,0.00,,,,,,,,,0.80,Other Charges,99381000000098082,Yet To Be Pushed,,,YS1269,2020-09-26,0.000,,,,0.00,,,,,,,,,,,,,,,,true,ATM JUNIOR YS669,FALSE,0.00,0.0,1.00,"Make : YESWEIGH Model : YSP-20
Max : 20kg e:2g Min:40g
Class : III
Serial No:TI20773",322.20,1790.00,,Cochin,0.00,0.00,18.00,0.00,0.00,0.00,322.20,0.00,0.00,0.00,322.20,0.00,Sales Return,,,,,,,,,,INTERWEIGHING PVT LTD,32AAFCI1950F1ZZ,3PL Warehouse : C/O LOGIWIZ LOGISTICS INDIA PVT LTD,COCHIN,Kerala,India,683503,8803333444,admin@yesweigh.in,Taxable,99381000000006196,IGST18,18.00,ItemAmount,,,,,,0.000,,,02-Himachal Pradesh,business_gst,02AGEPB5824B2Z9,,,,,entity_level,HP,1790.00,0.00,Adjustment,,goods,Spreadsheet Template,nos,1790.00,84231000,Sales,,YS669,,,,,,,,,,,,,,,0.000,Cochin,,
2020-11-07,,99381000000205926,,99381000001716011,CN-00018,Closed,Accounts Receivable,Gee Bee Instruments,,"Adhithi Instruments
Door No. 5-11-1099/1 Jai Ganesh Building","KF Road
Opp Vaikunta Kudva & Sons",Mannagudda,Mangalore,India,575003,,,,"Adhithi Instruments
Door No. 5-11-1099/1 Jai Ganesh Building","KF Road
Opp Vaikunta Kudva & Sons",Mannagudda,Mangalore,India,,575003,,NO,NO,99381000000553036,INR,1.00,false,22420.00,0.00,0.00,,,,0.00,,,,,,,,,0.00,,99381000000098082,Yet To Be Pushed,,,YS1499,2020-10-30,0.000,,,,0.00,,,,,,,,,,,,,,,,true,Analytical Balance 220g /0.1mg,FALSE,0.00,0.0,1.00,Make : YES WEIGH Model : YSJ 50,3420.00,19000.00,YS1595,Cochin,0.00,0.00,18.00,0.00,0.00,0.00,3420.00,0.00,0.00,0.00,3420.00,0.00,Sales Return,,,,,,,,,,INTERWEIGHING PVT LTD,32AAFCI1950F1ZZ,3PL Warehouse : C/O LOGIWIZ LOGISTICS INDIA PVT LTD,COCHIN,Kerala,India,683503,8803333444,admin@yesweigh.in,Taxable,99381000000006196,IGST18,18.00,ItemAmount,,,,,,0.000,,,29-Karnataka,business_gst,29AXEPS2651Q1ZO,,,,,entity_level,KA,19000.00,0.00,Adjustment,,goods,Spreadsheet Template,nos,19000.00,84231000,Sales,,BSM2204,,,,,,,,,,,,,,,0.000,Cochin,,
