Date,Credit Note Number,Branch Name,Invoice Number,Applied Invoice Date,Amount
2020-06-17,CN-00001,Cochin,YS717,2020-06-17,42480.000
2020-06-26,CN-00003,Cochin,YS772,2020-06-26,1180.000
2020-06-30,CN-00005,Cochin,YS785,2020-06-30,2832.000
2020-07-01,CN-00006,Cochin,YS793,2020-07-01,19470.000
2020-07-30,CN-00007,Cochin,YS905,2020-07-30,12980.000
2020-08-04,CN-00004,Cochin,YS931,2020-08-04,64380.000
2020-08-04,CN-00007,Cochin,YS931,2020-08-04,10030.000
2020-08-04,CN-00008,Cochin,YS931,2020-08-04,115050.000
2020-08-04,CN-00004,Cochin,YS934,2020-08-04,4650.000
2020-09-04,CN-00012,Cochin,YS1059,2020-09-04,11505.000
2020-09-21,CN-00014,Cochin,YS1221,2020-09-19,188951.040
2020-09-29,CN-00015,Cochin,YS1234,2020-09-22,45312.000
2020-09-30,CN-00016,Cochin,YS1290,2020-09-30,56050.000
2020-10-01,CN-00016,Cochin,YS1310,2020-10-01,2950.000
2020-08-12,CN-00011,Cochin,YS934,2020-08-04,17700.000
2020-11-13,CN-00018,Cochin,YS1595,2020-11-13,22420.000
2020-11-19,CN-00020,Cochin,YS1624,2020-11-17,58905.600
2020-11-17,CN-00019,Cochin,YS1627,2020-11-17,5900.000
2020-12-04,CN-00021,Cochin,YS1763,2020-12-03,56522.000
2020-12-18,CN-00022,Cochin,YS1853,2020-12-18,11304.400
2020-12-18,CN-00022,Cochin,YS1696,2020-11-27,607.700
2020-12-18,CN-00022,Cochin,YS1670,2020-11-21,241.900
2021-03-29,CN-00037,Cochin,YS2421,2021-03-24,14160.000
2021-04-16,CN-00059,Cochin,YES/21-22/0080,2021-04-16,49383.000
2021-04-17,CN-00060,Cochin,YES/21-22/0081,2021-04-17,45725.000
2021-04-19,CN-00061,Cochin,YES/21-22/0082,2021-04-19,40238.000
2021-04-20,CN-00062,Cochin,YES/21-22/0083,2021-04-20,47554.000
2021-04-19,CN-00057,Cochin,YES/21-22/0085,2021-04-15,9440.000
2021-04-17,CN-00058,Cochin,YES/21-22/0085,2021-04-15,37170.000
2021-04-17,CN-00058,Cochin,YES/21-22/0086,2021-04-17,11564.000
2021-04-17,CN-00063,Cochin,YES/21-22/0086,2021-04-17,36462.000
2021-04-19,CN-00063,Cochin,YES/21-22/0087,2021-04-19,11328.000
2021-04-20,CN-00064,Cochin,YES/21-22/0087,2021-04-19,31860.000
2021-04-19,CN-00065,Cochin,YES/21-22/0087,2021-04-19,4602.000
2021-04-20,CN-00065,Cochin,YES/21-22/0088,2021-04-20,21063.000
