Delivery Challan ID,Challan Date,Delivery Challan Number,Challan Type,Status,Invoice Status,Branch ID,Branch Name,Customer ID,Customer Name,Place of Supply,GST Treatment,GST Identification Number (GSTIN),Is Inclusive Tax,Template Name,Currency Code,Exchange Rate,Discount Type,Is Discount Before Tax,Entity Discount Amount,Entity Discount Percent,Item Name,MRP,Product ID,SKU,Kit Combo Item Name,Account,Item Desc,QuantityOrdered,QuantityInvoiced,Usage unit,Item Price,Discount,Discount Amount,HSN/SAC,Is Tax Calculated on Label Price,Warehouse Name,Supply Type,Tax ID,Item Tax,Item Tax %,Item Tax Amount,Item Tax Type,Item Tax Authority,Item Tax Exemption Reason,Item Type,Loaction,Item Total,SubTotal,Total,Item.CF.No of pcs in Master carton,CF.Dispatched Through,CF.Tracking No,CF.Send By
99381000000116760,2019-07-05,DC-00002,Job Work,Delivered,Not Invoiced,99381000000098082,Cochin,99381000000116741,Aboo Shakir,KA,business_none,,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Floor scale 1T 5mm 1000x1000 mm,,99381000000035236,PLT1000,,Sales,"1000x100mm, 5mm thickness
Color Silver Gray",1.00,0.00,nos,11500.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006196,IGST18,18.000000,2070.00,ItemAmount,INTD,,goods,,11500.00,27700.00,32686.00,,,,
99381000000116760,2019-07-05,DC-00002,Job Work,Delivered,Not Invoiced,99381000000098082,Cochin,99381000000116741,Aboo Shakir,KA,business_none,,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,"Weighing scale ECS , Cash register with Print",,99381000000011617,ECS5W,,Sales,"Model no : YS 30
Max: 30 Kg E: 5g Min : 100g Class III",1.00,0.00,nos,14500.00,0.00,0.0,84231000,FALSE,Cochin,Taxable,99381000000006196,IGST18,18.000000,2610.00,ItemAmount,INTD,,goods,,14500.00,27700.00,32686.00,,,,
99381000000116760,2019-07-05,DC-00002,Job Work,Delivered,Not Invoiced,99381000000098082,Cochin,99381000000116741,Aboo Shakir,KA,business_none,,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Price Computing scale,,99381000000016031,ATMPC,,Sales,"Model no : YS 30
Max: 30 Kg E: 5g Min : 100g Class III",1.00,0.00,nos,1700.00,0.00,0.0,84231000,FALSE,Cochin,Taxable,99381000000006196,IGST18,18.000000,306.00,ItemAmount,INTD,,goods,,1700.00,27700.00,32686.00,,,,
99381000000116807,2019-07-05,DC-00003,Job Work,Delivered,Not Invoiced,99381000000098082,Cochin,99381000000116788,Interweighing Pvt Ltd,KL,business_gst,32AAFCI1950F1ZZ,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Price Computing scale,,99381000000016031,ATMPC,,Sales,"Model no : YS 30
Max: 30 Kg E: 5g Min : 100g Class III",1.00,0.00,nos,1700.00,0.00,0.0,84231000,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,306.00,Tax Group,,,goods,,1700.00,18150.00,21417.00,,,,
99381000000116807,2019-07-05,DC-00003,Job Work,Delivered,Not Invoiced,99381000000098082,Cochin,99381000000116788,Interweighing Pvt Ltd,KL,business_gst,32AAFCI1950F1ZZ,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,"Weighing scale ECS , Cash register with Print",,99381000000011617,ECS5W,,Sales,"Model no : YS 30
Max: 30 Kg E: 5g Min : 100g Class III",1.00,0.00,nos,14500.00,0.00,0.0,84231000,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,2610.00,Tax Group,,,goods,,14500.00,18150.00,21417.00,,,,
99381000000116807,2019-07-05,DC-00003,Job Work,Delivered,Not Invoiced,99381000000098082,Cochin,99381000000116788,Interweighing Pvt Ltd,KL,business_gst,32AAFCI1950F1ZZ,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Platform scale BN 3034,,99381000000016068,BENCHPC,,Sales,"Model no : YS 50 C
Max: 50 Kg E: 5g Min : 100g Class III",1.00,0.00,nos,1950.00,0.00,0.0,84231000,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,351.00,Tax Group,,,goods,,1950.00,18150.00,21417.00,,,,
99381000000205199,2019-08-19,DC-00005,Job Work,Open,Not Invoiced,99381000000098082,Cochin,99381000000116788,Interweighing Pvt Ltd,KL,business_gst,32AAFCI1950F1ZZ,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,ECS with Printer,,99381000000011617,ECS5W,,Sales,Make: GMS  Model: GPC-30   Max:30kg  e:5g  Min:100g  Class:III,2.00,0.00,nos,14500.00,0.00,0.0,84231000,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,5220.00,Tax Group,,,goods,,29000.00,29000.00,34220.00,,,,
99381000000208361,2019-08-20,DC-00006,Job Work,Open,Not Invoiced,99381000000098082,Cochin,99381000000116788,Interweighing Pvt Ltd,KL,business_gst,32AAFCI1950F1ZZ,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Label Printing scale,,99381000000194633,Q8LBL,,Sales,Make: GMS  Model: GPC-30   Max:30kg  e:5g  Min:100g  Class:III,1.00,0.00,nos,16500.00,0.00,0.0,84231000,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,2970.00,Tax Group,,,goods,,16500.00,16500.00,19470.00,,,,
99381000000238119,2019-09-04,DC-00004,Supply on Approval,Delivered,Invoiced,99381000000098082,Cochin,99381000000084733,ELMASS SYSTEMS & SERVICES,KL,business_gst,32AACFE8918M1Z7,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Floor Scale 1.2mx1.2m,,99381000000035245,PLT1200,,Sales,"Make: SIFANG Model: TCS-1000
Max: 1000 Kg e: 100 gMin: 2 Kg 
Class : III",1.00,1.00,nos,0.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,0.00,Tax Group,,,goods,,0.00,0.00,0.00,,,,
99381000000278671,2019-09-25,DC-00007,others,Draft,,99381000000098082,Cochin,99381000000011771,METRO ENTERPRISES,KL,business_gst,32BMVPM8572R2ZS,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Platform scale,,99381000000016068,BENCHPC,,Sales,Make: SIFANG  Model: TCS-50   Max:50kg  e:5g  Min:100g  Class:III,2.00,0.00,nos,0.00,0.00,0.0,84231000,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,0.00,Tax Group,,,goods,,0.00,0.00,0.00,,,,
