Expense Date,Expense Description,Expense Account,Expense Account Code,Paid Through,Paid Through Account Code,Vendor,Branch Name,Project Name,HSN/SAC,GST Treatment,Destination of Supply,Source of Supply,GST Identification Number (GSTIN),Entry Number,Currency Code,Exchange Rate,Is Inclusive Tax,Mileage Rate,Mileage Unit,Distance,Start Odometer Reading,End Odometer Reading,Mileage Type,Vehicle Name,Claimant Email,Tax Name,Tax Percentage,Tax Type,CGST Rate %,SGST Rate %,IGST Rate %,CESS Rate %,CGST(FCY),SGST(FCY),IGST(FCY),CESS(FCY),CGST,SGST,IGST,CESS,Item Exemption Code,Tax Amount,ITC Eligibility,Expense Type,Reverse Charge Tax Name,Reverse Charge Tax Rate,Reverse Charge Tax Type,Expense Amount,Total,Supply Type,Reference#,Is Billable,Customer Name,Expense Reference ID,Recurrence Name,ExpenseReport Name,Is Reimbursable,Loaction
2019-03-25,PCD/3506/UBER9 BUSINESS PROCESS/Chennaxx0319/13:41,Audit Fees,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,1,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,20620.000000,20620.000,,,false,,99381000000014322,,,false,
2019-03-28,PCD/3506/Make My Trip India PVT/GURGAOxx0319/13:48,Travelling expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,2,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,6307.000000,6307.000,,,false,,99381000000014340,,,false,
2019-05-02,,Meeting Expenses,,Petty Cash,,,Cochin,,,business_gst,KL,KL,32AAACQ1266F2ZU,4,INR,1.00,true,0.00,,,,,NonMileage,,,GST18,18.00,Tax group,9.00,9.00,0.00,0.00,1220.340,1220.340,0.000,0.000,1220.340,1220.340,0.000,0.000,,2440.680000,eligible,service,,,,16000.000000,16000.000,,37,false,,99381000000014886,,,false,
2019-05-04,,Meeting Expenses,,Kotak Current Account,,,Cochin,,996344,business_gst,KL,KL,32AABCH5747F1ZT,5,INR,1.00,true,0.00,,,,,NonMileage,,,GST18,18.00,Tax group,9.00,9.00,0.00,0.00,858.050,858.050,0.000,0.000,858.050,858.050,0.000,0.000,,1716.100000,eligible,service,,,,11250.000000,11250.000,,T9 SO 00115,false,,99381000000014980,,,false,
2019-04-20,,Meeting Expenses,,Kotak Current Account,,,Cochin,,,business_none,KL,KL,,8,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,7500.000000,7500.000,,,false,,99381000000015116,,,false,
2019-04-27,,Meeting Expenses,,Kotak Current Account,,,Cochin,,,business_gst,KL,KL,32AAFCG1934K1ZQ,9,INR,1.00,true,0.00,,,,,NonMileage,,,GST5,5.00,Tax group,2.50,2.50,0.00,0.00,266.670,266.670,0.000,0.000,266.670,266.670,0.000,0.000,,533.340000,ineligible,service,,,,11200.000000,11200.000,,T-016,false,,99381000000015142,,,false,
2019-03-16,PCD/7416/VEDANTA BUSINESS HOTEL/ERNAKUxx0319/15:39,Hotel Meeting,,Kotak Current Account,,,Cochin,,,business_none,KL,KL,,10,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,4956.000000,4956.000,,,false,,99381000000015174,,,false,
2019-04-03,"PCD/3506/AJMAL AND SONS,/COCHINxx0419/21:47",Miscellaneous Expenses,,Kotak Current Account,,,Cochin,,,business_none,KL,KL,,11,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,1200.000000,1200.000,,,false,,99381000000015192,,,false,
2019-04-03,PCD/3506/VEDANTA BUSINESS HOTEL/ERNAKUxx0419/19:23,Meeting Expenses,,Kotak Current Account,,,Cochin,,,business_none,KL,KL,,12,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,5664.000000,5664.000,,,false,,99381000000015210,,,false,
2019-04-13,PCD/7416/Hyson Heritage1./Kozhikodexx0419/21:03,Meeting Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,13,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,1003.000000,1003.000,,,false,,99381000000015228,,,false,
