InventoryAdjustment#,Date,Reference#,Status,InventoryAdjustment ID,Adjustment Type,Reason,Description,Item Name,Item ID,SKU,Account,Inventory Account,Item Desc,Quantity Adjusted,Cost Price,Value Adjusted,Usage unit,Project ID,Project Name,Branch ID,Branch Name,Warehouse Name,Batch ID,Batch Reference#,Manufacturer Batch#,Manufactured Date,Expiry Date,Quantity In,Quantity Out,Serial Numbers,Loaction
8,2019-09-25,DC0008,Adjusted,99381000000279003,quantity,MISSED BY TRANSPORTER,REPLACEMENT AGAINST MISSED MACHINES,Price Computing scale,99381000000016031,ATMPC,Cost of Goods Sold,Inventory Asset,,-5.00,1316.000000,,no,,,99381000000098082,Cochin,Cochin,,,,,,,,,
10,2019-10-15,,Adjusted,99381000000309678,quantity,REPLACEMENT FOR COMPLAINT SPARE PART,,Load Cell 1000 Kg SB,99381000000309273,SBLI10,Cost of Goods Sold,Inventory Asset,,-4.00,700.000000,,no,,,99381000000098082,Cochin,Cochin,,,,,,,,,
14,2019-11-07,,Adjusted,99381000000364491,quantity,Damaged goods,,DISPLAY SET FRONT,99381000000306342,ECS808,Cost of Goods Sold,Inventory Asset,,-1.00,1196.000000,,no,,,99381000000098082,Cochin,Cochin,,,,,,,,,
15,2019-12-28,,Adjusted,99381000000497001,quantity,REPLACEMENT FOR COMPLAINT SPARE PART,,FRONT DISPLAY PCB (ACS-799-QX-E-V2),99381000000313049,APC206,Cost of Goods Sold,Inventory Asset,,-1.00,200.000000,,no,,,99381000000098082,Cochin,Cochin,,,,,,,,,
29,2020-05-16,,Adjusted,99381000000891597,quantity,Stocktaking results,,Price Computing scale,99381000000016031,ATMPC,Cost of Goods Sold,Inventory Asset,,5.00,1294.970000,,no,,,99381000000098082,Cochin,Cochin,,,,,,,,,
29,2020-05-16,,Adjusted,99381000000891597,quantity,Stocktaking results,,Price Computing Scale-W,99381000000035371,ATMPCW,Cost of Goods Sold,Inventory Asset,,-9.00,1390.000000,,no,,,99381000000098082,Cochin,Cochin,,,,,,,,,
29,2020-05-16,,Adjusted,99381000000891597,quantity,Stocktaking results,,Price Computing Scale-T,99381000000035362,ATMPCT,Cost of Goods Sold,Inventory Asset,,4.00,1458.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
30,2020-06-04,nil,Adjusted,99381000000938022,quantity,Stocktaking results,,Price Computing Scale-W,99381000000035371,ATMPCW,Cost of Goods Sold,Inventory Asset,,-1.00,1390.000000,,no,,,99381000000098082,Cochin,Cochin,,,,,,,,,
30,2020-06-04,nil,Adjusted,99381000000938022,quantity,Stocktaking results,,Price Computing Scale-T,99381000000035362,ATMPCT,Cost of Goods Sold,Inventory Asset,,1.00,1458.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
31,2020-07-29,,Adjusted,99381000001171213,quantity,Inventory Revaluation,,Price Computing Scale-W,99381000000035371,ATMPCW,Cost of Goods Sold,Inventory Asset,"Make: YESWEIGH Model: YSP-20
Max:20kg  e:2g  Min:40g  Class:III",-20.00,1390.000000,,no,,,99381000000098082,Cochin,Cochin,,,,,,,,,
31,2020-07-29,,Adjusted,99381000001171213,quantity,Inventory Revaluation,,Price Computing Scale-T,99381000000035362,ATMPCT,Cost of Goods Sold,Inventory Asset,Make: YESWEIGH Model:YSP-20  Max:20kg  e:2g  Min:40g  Class:III,5.00,1458.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
31,2020-07-29,,Adjusted,99381000001171213,quantity,Inventory Revaluation,,Price Computing scale,99381000000016031,ATMPC,Cost of Goods Sold,Inventory Asset,"Make: YESWEIGH  Model:YSP-20
Max:20kg  e:2g  Min:40g  Class:III",15.00,1369.730000,,no,,,99381000000098082,Cochin,Cochin,,,,,,,,,
32,2020-08-10,,Adjusted,99381000001221009,quantity,Inventory Revaluation,,Price Computing scale,99381000000016031,ATMPC,Cost of Goods Sold,Inventory Asset,"Make: YESWEIGH  Model:YSP-20
Max:20kg  e:2g  Min:40g  Class:III",-25.00,1352.690000,,no,,,99381000000098082,Cochin,Cochin,,,,,,,,,
32,2020-08-10,,Adjusted,99381000001221009,quantity,Inventory Revaluation,,Price Computing Scale-W,99381000000035371,ATMPCW,Cost of Goods Sold,Inventory Asset,"Make: YESWEIGH Model: YSP-20
Max:20kg  e:2g  Min:40g  Class:III",25.00,1461.500000,,no,,,99381000000098082,Cochin,Cochin,,,,,,,,,
33,2021-01-01,153,Adjusted,99381000002113005,quantity,Inventory Revaluation,,Platform Weighing Scale 200kgx20g SS,99381000001476030,PFPC420X520SS,Cost of Goods Sold,Inventory Asset,"Make : YESWEIGH Model:YSP-200
Max:200 kg e: 20gm Min:400g Class III",1.00,4800.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
34,2021-01-06,001,Adjusted,99381000002149017,quantity,Inventory Revaluation,,Spare Parts,99381000001847007,SPARE,Cost of Goods Sold,Inventory Asset,,-2.00,3962.450000,,box,,,99381000000098082,Cochin,Cochin,,,,,,,,,
34,2021-01-06,001,Adjusted,99381000002149017,quantity,Inventory Revaluation,,PRINTER Q9702,99381000001663305,Q9702,Cost of Goods Sold,Inventory Asset,,10.00,5185.950000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
34,2021-01-06,001,Adjusted,99381000002149017,quantity,Inventory Revaluation,,PRINT HEAD Q9703,99381000001663314,Q9703,Cost of Goods Sold,Inventory Asset,,10.00,1852.120000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
34,2021-01-06,001,Adjusted,99381000002149017,quantity,Inventory Revaluation,,DISPLAY SET FRONT,99381000000306342,ECS808,Cost of Goods Sold,Inventory Asset,,1.00,1850.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
34,2021-01-06,001,Adjusted,99381000002149017,quantity,Inventory Revaluation,,MOTHER BOARD,99381000000306276,ECS815,Cost of Goods Sold,Inventory Asset,,10.00,5700.000000,,pcs,,,99381000000098082,Cochin,Cochin,,,,,,,,,
34,2021-01-06,001,Adjusted,99381000002149017,quantity,Inventory Revaluation,,POWER SUPPLY BOARD,99381000000306225,ECS816,Cost of Goods Sold,Inventory Asset,,50.00,100.000000,,no,,,99381000000098082,Cochin,Cochin,,,,,,,,,
34,2021-01-06,001,Adjusted,99381000002149017,quantity,Inventory Revaluation,,SMPS 7V,99381000000306148,ECS817,Cost of Goods Sold,Inventory Asset,,13.00,974.580000,,no,,,99381000000098082,Cochin,Cochin,,,,,,,,,
34,2021-01-06,001,Adjusted,99381000002149017,quantity,Inventory Revaluation,,DOT  MATRIX DISPLAY,99381000001687432,ECS826,Cost of Goods Sold,Inventory Asset,,20.00,446.160000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
34,2021-01-06,001,Adjusted,99381000002149017,quantity,Inventory Revaluation,,SMPS 20V,99381000001455323,Q8604,Cost of Goods Sold,Inventory Asset,,17.00,1.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
34,2021-01-06,001,Adjusted,99381000002149017,quantity,Inventory Revaluation,,Q8LBL PRINTER,99381000001663197,Q8610,Cost of Goods Sold,Inventory Asset,,10.00,5185.950000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
34,2021-01-06,001,Adjusted,99381000002149017,quantity,Inventory Revaluation,,Q8LBL PRINT HEAD,99381000001663206,Q8611,Cost of Goods Sold,Inventory Asset,,5.00,1852.120000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
35,2021-01-06,0054,Adjusted,99381000002149107,quantity,Inventory Revaluation,,Spare Parts,99381000001847007,SPARE,Cost of Goods Sold,Inventory Asset,,-13.00,6292.518462,,box,,,99381000000098082,Cochin,Cochin,,,,,,,,,
35,2021-01-06,0054,Adjusted,99381000002149107,quantity,Inventory Revaluation,,KEYPAD BOARD ATM PC,99381000000313040,APC202,Cost of Goods Sold,Inventory Asset,,28.00,0.500000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
35,2021-01-06,0054,Adjusted,99381000002149107,quantity,Inventory Revaluation,,Body set ATM PC,99381000001662112,APC211,Cost of Goods Sold,Inventory Asset,,25.00,130.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
35,2021-01-06,0054,Adjusted,99381000002149107,quantity,Inventory Revaluation,,ATM PC WEIGH PAN,99381000001662121,APC214,Cost of Goods Sold,Inventory Asset,,25.00,130.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
35,2021-01-06,0054,Adjusted,99381000002149107,quantity,Inventory Revaluation,,AC/DC Adaptor,99381000000542391,WPC406,Cost of Goods Sold,Inventory Asset,,35.00,64.000000,,pcs,,,99381000000098082,Cochin,Cochin,,,,,,,,,
35,2021-01-06,0054,Adjusted,99381000002149107,quantity,Inventory Revaluation,,Motherboard ATM PC Waterproof,99381000000542355,WPC402,Cost of Goods Sold,Inventory Asset,,-10.00,96.000000,,pcs,,,99381000000098082,Cochin,Cochin,,,,,,,,,
35,2021-01-06,0054,Adjusted,99381000002149107,quantity,Inventory Revaluation,,KEYPAD BOARD ATM PC WATERPROOF,99381000001656700,WPC415,Cost of Goods Sold,Inventory Asset,"KEYPAD BOARD ATM PC
WATERPROOF WPC415",50.00,170.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
35,2021-01-06,0054,Adjusted,99381000002149107,quantity,Inventory Revaluation,,BODY SET PC WATER PROOF,99381000001656745,WPC414,Cost of Goods Sold,Inventory Asset,,25.00,130.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
35,2021-01-06,0054,Adjusted,99381000002149107,quantity,Inventory Revaluation,,BODY SET ATM JUNIOR,99381000001656758,BSAJ,Cost of Goods Sold,Inventory Asset,,25.00,130.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
35,2021-01-06,0054,Adjusted,99381000002149107,quantity,Inventory Revaluation,,KEYPAD BOARD ATM JUNIOR,99381000001656767,KBAJ,Cost of Goods Sold,Inventory Asset,,20.00,130.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
35,2021-01-06,0054,Adjusted,99381000002149107,quantity,Inventory Revaluation,,ATM PC JUNIOR PLATFORM,99381000001656780,APJP,Cost of Goods Sold,Inventory Asset,,25.00,130.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
35,2021-01-06,0054,Adjusted,99381000002149107,quantity,Inventory Revaluation,,Metallic Keypad Bench PC,99381000000542107,BPC101,Cost of Goods Sold,Inventory Asset,,75.00,80.000000,,pcs,,,99381000000098082,Cochin,Cochin,,,,,,,,,
35,2021-01-06,0054,Adjusted,99381000002149107,quantity,Inventory Revaluation,,Keypad Board Bench PC,99381000000542116,BPC102,Cost of Goods Sold,Inventory Asset,,19.00,0.500000,,pcs,,,99381000000098082,Cochin,Cochin,,,,,,,,,
35,2021-01-06,0054,Adjusted,99381000002149107,quantity,Inventory Revaluation,,MOTHER BOARD ATM/BENCH PC,99381000000313080,BPC114,Cost of Goods Sold,Inventory Asset,,99.00,1.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
35,2021-01-06,0054,Adjusted,99381000002149107,quantity,Inventory Revaluation,,Metallic Keypad Cover,99381000001577040,BPC115,Cost of Goods Sold,Inventory Asset,,15.00,1.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
35,2021-01-06,0054,Adjusted,99381000002149107,quantity,Inventory Revaluation,,BOTTOM CASE BENCH PC,99381000001577058,BPC116,Cost of Goods Sold,Inventory Asset,,21.00,1.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
35,2021-01-06,0054,Adjusted,99381000002149107,quantity,Inventory Revaluation,,TOP CASE BENCH PC,99381000001577067,BPC117,Cost of Goods Sold,Inventory Asset,,46.00,1.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
35,2021-01-06,0054,Adjusted,99381000002149107,quantity,Inventory Revaluation,,Load Cell 200kg (Platform),99381000001073039,PLC200,Cost of Goods Sold,Inventory Asset,,7.00,300.000000,,no,,,99381000000098082,Cochin,Cochin,,,,,,,,,
35,2021-01-06,0054,Adjusted,99381000002149107,quantity,Inventory Revaluation,,LOAD CELL 700 KG,99381000001140751,PLCK70,Cost of Goods Sold,Inventory Asset,,7.00,2.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
35,2021-01-06,0054,Adjusted,99381000002149107,quantity,Inventory Revaluation,,LOAD CELL 400 KG,99381000001140770,PLCK40,Cost of Goods Sold,Inventory Asset,,7.00,2.800000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
35,2021-01-06,0054,Adjusted,99381000002149107,quantity,Inventory Revaluation,,BODY SET PLATFORM SCALE,99381000001656835,PFPC504,Cost of Goods Sold,Inventory Asset,,10.00,130.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
35,2021-01-06,0054,Adjusted,99381000002149107,quantity,Inventory Revaluation,,BODY SET ATM PC TOUCH,99381000001662103,TPC306,Cost of Goods Sold,Inventory Asset,,10.00,130.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
35,2021-01-06,0054,Adjusted,99381000002149107,quantity,Inventory Revaluation,,Step Down Tranformer (Output: 6.5v AC) ATM PC Touch,99381000000542337,TPC305,Cost of Goods Sold,Inventory Asset,,50.00,1.000000,,pcs,,,99381000000098082,Cochin,Cochin,,,,,,,,,
39,2021-02-03,458,Adjusted,99381000002325187,quantity,Inventory Revaluation,,Keypad Board Bench PC,99381000000542116,BPC102,Cost of Goods Sold,Inventory Asset,,10.00,0.500000,,pcs,,,99381000000098082,Cochin,Cochin,,,,,,,,,
39,2021-02-03,458,Adjusted,99381000002325187,quantity,Inventory Revaluation,,ATM JUNIOR FRONT DISPLAY (BI COLOR),99381000001991051,AJFDBC,Cost of Goods Sold,Inventory Asset,,12.00,115.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
40,2021-02-10,,Adjusted,99381000002355488,quantity,Inventory Revaluation,,Spare Parts,99381000001847007,SPARE,Cost of Goods Sold,Inventory Asset,,-1.00,162212.840000,,box,,,99381000000098082,Cochin,Cochin,,,,,,,,,
40,2021-02-10,,Adjusted,99381000002355488,quantity,Inventory Revaluation,,FRONT DISPLAY BOARD ATM PC,99381000000313049,APC206,Cost of Goods Sold,Inventory Asset,,35.00,1.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
40,2021-02-10,,Adjusted,99381000002355488,quantity,Inventory Revaluation,,MOTHER BOARD ATM/BENCH PC,99381000000313080,BPC114,Cost of Goods Sold,Inventory Asset,,35.00,1.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
40,2021-02-10,,Adjusted,99381000002355488,quantity,Inventory Revaluation,,Load Cell 70kg Bench PC,99381000000542215,BPC113,Cost of Goods Sold,Inventory Asset,,25.00,1.500000,,pcs,,,99381000000098082,Cochin,Cochin,,,,,,,,,
40,2021-02-10,,Adjusted,99381000002355488,quantity,Inventory Revaluation,,Keypad Board Bench PC,99381000000542116,BPC102,Cost of Goods Sold,Inventory Asset,,20.00,0.500000,,pcs,,,99381000000098082,Cochin,Cochin,,,,,,,,,
41,2021-02-20,185,Adjusted,99381000002418422,quantity,Inventory Revaluation,,Step Down Transformer (Output: 6.5v AC) Bench PC,99381000000542161,TRF6V,Cost of Goods Sold,Inventory Asset,,20.00,1.000000,,pcs,,,99381000000098082,Cochin,Cochin,,,,,,,,,
42,2021-02-20,186,Adjusted,99381000002418450,quantity,Inventory Revaluation,,ATM JUNIOR FRONT DISPLAY (BI COLOR),99381000001991051,AJFDBC,Cost of Goods Sold,Inventory Asset,,10.00,115.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
43,2021-02-20,187,Adjusted,99381000002431662,quantity,Inventory Revaluation,,Government Stamping Fee /Expense for 50 kg,99381000000186036,SF50,Cost of Goods Sold,Inventory Asset,,20.00,335.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
44,2021-03-04,169,Adjusted,99381000002504287,quantity,Inventory Revaluation,,ATM JUNIOR FRONT DISPLAY (BI COLOR),99381000001991051,AJFDBC,Cost of Goods Sold,Inventory Asset,,10.00,115.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
45,2021-03-04,168,Adjusted,99381000002504377,quantity,Inventory Revaluation,,Keypad Board Bench PC,99381000000542116,BPC102,Cost of Goods Sold,Inventory Asset,,6.00,0.500000,,pcs,,,99381000000098082,Cochin,Cochin,,,,,,,,,
46,2021-03-04,167,Adjusted,99381000002504497,quantity,Inventory Revaluation,,Price Computing Scale-W,99381000000035371,ATMPCW,Cost of Goods Sold,Inventory Asset,"Make: YESWEIGH Model: YSP-20
Max:20kg  e:2g  Min:40g  Class:III",-7.00,1774.571429,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
46,2021-03-04,167,Adjusted,99381000002504497,quantity,Inventory Revaluation,,ECS Indicator,99381000000343199,ECSIND,Cost of Goods Sold,Inventory Asset,,-1.00,11592.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
46,2021-03-04,167,Adjusted,99381000002504497,quantity,Inventory Revaluation,,Bill  Printing scale Q74W,99381000000343190,ECS4W,Cost of Goods Sold,Inventory Asset,Make: YESWEIGH  Model:YS-30   Max:30kg  e:5g  Min:100g  Class:III,-1.00,7765.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
47,2021-03-04,164,Adjusted,99381000002504533,quantity,REPACEMENT DURING WARRANTY,,BARCODE SCANNER PT - 198,99381000000220093,PT198,Cost of Goods Sold,Inventory Asset,"1D Barcode scanner 
RS232 Serial Port ",-3.00,1400.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
47,2021-03-04,164,Adjusted,99381000002504533,quantity,REPACEMENT DURING WARRANTY,,Analytical Balance 220g/1 mg,99381000000205935,BSM2203,Cost of Goods Sold,Inventory Asset,"Make : YES WEIGH Model : YSJ 50
",-2.00,5495.000000,,no,,,99381000000098082,Cochin,Cochin,,,,,,,,,
48,2021-03-04,165,Adjusted,99381000002504557,quantity,REPLACEMENT FOR COMPLAINT SPARE PART,,Label Printing scale Q8LBL,99381000000194633,Q8LBL,Cost of Goods Sold,Inventory Asset,Make:YESWEIGH  Model:YS-30   Max:30kg  e:5g  Min:100g  Class:III,-2.00,12500.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
50,2021-03-08,,Adjusted,99381000002536116,quantity,Inventory Revaluation,,Spare Parts,99381000001847007,SPARE,Cost of Goods Sold,Inventory Asset,,-1.00,162212.840000,,box,,,99381000000098082,Cochin,Cochin,,,,,,,,,
50,2021-03-08,,Adjusted,99381000002536116,quantity,Inventory Revaluation,,DJ Power supply Card,99381000002388885,DJ101,Cost of Goods Sold,Inventory Asset,,4.00,90.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
50,2021-03-08,,Adjusted,99381000002536116,quantity,Inventory Revaluation,,DJ MOTHERBOARD,99381000002489001,DJ102,Cost of Goods Sold,Inventory Asset,,7.00,850.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
50,2021-03-08,,Adjusted,99381000002536116,quantity,Inventory Revaluation,,DJ LOADCELL,99381000002489010,DJ103,Cost of Goods Sold,Inventory Asset,,3.00,430.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
50,2021-03-08,,Adjusted,99381000002536116,quantity,Inventory Revaluation,,DJ ADAPTER,99381000002489019,DJ104,Cost of Goods Sold,Inventory Asset,,7.00,295.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
50,2021-03-08,,Adjusted,99381000002536116,quantity,Inventory Revaluation,,DJ FRONTDISPALY,99381000002489028,DJ105,Cost of Goods Sold,Inventory Asset,,6.00,595.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
50,2021-03-08,,Adjusted,99381000002536116,quantity,Inventory Revaluation,,DJ DISPLAY STICKER,99381000002489037,DJ106,Cost of Goods Sold,Inventory Asset,,10.00,70.000000,,nos,,,99381000000098082,Cochin,Cochin,,,,,,,,,
