Item ID,Item Name,SKU,UPC,MPN,EAN,ISBN,Is Returnable Item,Brand,Manufacturer,HSN/SAC,Is Tax Calculated on Label Price,Description,Rate,MRP,Account,Account Code,Package Weight,Package Length,Package Width,Package Height,Dimension Unit,Weight Unit,Is Receivable Service,Taxable,Exemption Reason,Taxability Type,Product Type,Product Name,Item Description,AttributeName1,AttributeName2,AttributeName3,AttributeOption1,AttributeOption2,AttributeOption3,Category Name,Parent Category,Intra State Tax Name,Intra State Tax Rate,Intra State Tax Type,Inter State Tax Name,Inter State Tax Rate,Inter State Tax Type,Source,Reference ID,Last Sync Time,Status,Usage unit,Unit Name,Purchase Rate,Purchase Account,Purchase Account Code,Purchase Description,Inventory Account,Inventory Account Code,Inventory Valuation Method,Reorder Point,Vendor,Warehouse Name,Opening Stock,Opening Stock Value,Stock On Hand,Item Type,Sellable,Purchasable,Track Inventory,TrackSerialNumber,Track Batches,Enable Bin Tracking,Batch ID,Batch Reference#,Manufacturer Batch#,Manufactured Date,Expiry Date,Quantity In,Serial Numbers,Is Combo Product,Loaction,CF.No of pcs in Master carton
99381000000005177,Electronic weighing scale,,,,,,false,,,,FALSE,"Model no : YS 30
Max: 30 kg  e value: 5g  Min: 100g Class III",INR 14500.00,,Sales,,0.00,0.00,0.00,0.00,,,,true,,,goods,Electronic weighing scale,"Model no : YS 30
Max: 30 kg  e value: 5g  Min: 100g Class III",,,,,,,,,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Inactive,no,,INR 10500.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,,Sales and Purchases,true,true,false,false,false,false,,,,,,,,false,,
99381000000011617,Electronic  Cash scale Q8,ECS5W,,,,,false,,,84238190,FALSE,Make:YESWEIGH  Model:YS-30   Max:30kg  e:5g  Min:100g  Class:III,INR 15500.00,INR 29000.00,Sales,,14.00,55.00,45.00,52.00,cm,kg,,true,,,goods,Bill Printing scale Q8POS,Make:YESWEIGH  Model:YS-30   Max:30kg  e:5g  Min:100g  Class:III,,,,,,,BILL PRINTING SCALES,,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,nos,nos,INR 10779.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,,6.00,Inventory,true,true,true,false,false,false,,,,,,,,false,,2
99381000000016031,Price Computing scale,ATMPC,,,,,false,,,84238190,FALSE,"Make: YESWEIGH  Model:YSP-20
Max:20kg  e:2g  Min:40g  Class:III",INR 1950.00,INR 4875.00,Sales,,19.00,68.00,39.00,38.00,cm,kg,,true,,,goods,PRICE COMPUTING SCALE - WHITE - EC(AY),"Make: YESWEIGH  Model:YSP-20
Max:20kg  e:2g  Min:40g  Class:III",,,,,,,OLD TABLE TOP MACHINES,,GST18,18.000000,Group,IGST18,18.000000,Simple,3,,,Inactive,nos,nos,INR 1605.00,Cost of Goods Sold,,Max:20kg  e:2g  Min:40g  ,Inventory Asset,,fifo,300.00,,,,,0.00,Inventory,true,true,true,false,false,false,,,,,,,,false,,5
99381000000016068,Platform scale,BENCHPC,,,,,false,,,84231000,FALSE,"Make: YESWEIGH  Model:YSP-50
Max:50kg  e:5g  Min:100g  Class:III",INR 2180.00,INR 5450.00,Sales,,28.00,60.00,33.00,66.00,cm,kg,,true,,,goods,PLATFORM SCALE -BENCH (G-QZ1),"Make: YESWEIGH  Model:YSP-50
Max:50kg  e:5g  Min:100g  Class:III",,,,,,,OLD TABLE TOP MACHINES,,GST18,18.000000,Group,IGST18,18.000000,Simple,3,,,Inactive,nos,nos,INR 1419.00,Cost of Goods Sold,,Max:50kg  e:5g  Min:100g ,Inventory Asset,,fifo,,,,,,0.00,Inventory,true,true,true,false,false,false,,,,,,,,false,,
99381000000035236,Platform 1mx1m,PLT1000,,,,,false,,,84239020,FALSE,Make: YES WEIGH  Model:YSP-1000 Max:1000kg  e:100g  Min:2kg  Class:III,INR 12000.00,INR 29000.00,Sales,,80.00,108.00,108.00,14.00,cm,kg,,true,,,goods,ELECTRONIC CASH REGISTER (BLACK),Make: YES WEIGH  Model:YSP-1000 Max:1000kg  e:100g  Min:2kg  Class:III,,,,,,,INDUSTRIAL SCALES,,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,nos,nos,INR 10370.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,,2.00,Inventory,true,true,true,false,false,false,,,,,,,,false,,1
99381000000035245,Platform 1.2mx1.2m,PLT1200,,,,,false,,,84239020,FALSE,"Make: YESWEIGH Model: YSPR 1.2
Max: 2000 Kg e: 200 g Min: 4 Kg 
Class : III",INR 15600.00,INR 45000.00,Sales,,110.00,125.00,125.00,15.00,cm,kg,,true,,,goods,ELECTRONIC CASH REGISTER (BLACK),"Make: YESWEIGH Model: YSPR 1.2
Max: 2000 Kg e: 200 g Min: 4 Kg 
Class : III",,,,,,,INDUSTRIAL SCALES,,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,nos,nos,INR 13362.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,,4.00,Inventory,true,true,true,false,false,false,,,,,,,,false,,1
99381000000035254,Platform 1.5mx1.5m,PLT1500,,,,,false,,,84239020,FALSE,Make: YESWEIGH  Model: YSPR 1.5   Max:3000kg  e:500g  Min:10kg  Class:III,INR 27200.00,INR 48000.00,Sales,,180.00,159.00,159.00,15.00,cm,kg,,true,,,goods,ELECTRONIC CASH REGISTER (BLACK),Make: YESWEIGH  Model: YSPR 1.5   Max:3000kg  e:500g  Min:10kg  Class:III,,,,,,,INDUSTRIAL SCALES,,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,nos,nos,INR 23658.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,,2.00,Inventory,true,true,true,false,false,false,,,,,,,,false,,1
99381000000035362,Price Computing Scale-Touch,ATMPCT,,,,,false,,,84231000,FALSE,Make: YESWEIGH Model:YSP-20  Max:20kg  e:2g  Min:40g  Class:III,INR 1950.00,INR 4875.00,Sales,,19.00,69.00,38.00,39.00,cm,kg,,true,,,goods,Price Computing Scale-Touch,Make: YESWEIGH Model:YSP-20  Max:20kg  e:2g  Min:40g  Class:III,,,,,,,,,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,nos,nos,INR 1246.00,Cost of Goods Sold,,,Inventory Asset,,fifo,0.00,,,,,2.00,Inventory,true,true,true,false,false,false,,,,,,,,false,,5
99381000000035371,Price Computing Scale-W,ATMPCW,,,,,false,,,84231000,FALSE,"Make: YESWEIGH Model: YSP-20
Max:20kg  e:2g  Min:40g  Class:III",INR 2500.00,INR 6250.00,Sales,,19.00,69.00,38.00,39.00,cm,kg,,true,,,goods,PRICE COMPUTING SCALE - WHITE - EC(AY),"Make: YESWEIGH Model: YSP-20
Max:20kg  e:2g  Min:40g  Class:III",,,,,,,OLD TABLE TOP MACHINES,,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Inactive,nos,nos,INR 1815.33,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,,0.00,Inventory,true,true,true,false,false,false,,,,,,,,false,,
99381000000172016,Government Stamping Fee / Expense for 20 KG,SF20,,,,,false,,,76061190,FALSE,,INR 320.00,INR 800.00,Sales,,0.00,0.00,0.00,0.00,cm,kg,,true,,,goods,Government Stamping Fee / Expense for 20 KG,,,,,,,,,,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Inactive,nos,nos,INR 170.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,,0.00,Inventory,true,true,true,false,false,false,,,,,,,,false,,
99381000000186027,Government Stamping Fee /Expense for 30 kg,SF30,,,,,false,,,76061190,FALSE,,INR 485.00,INR 1212.50,Sales,,0.00,0.00,0.00,0.00,cm,kg,,true,,,goods,Gujarath Government Stamping Fee /Expense for 20 kg,,,,,,,,Stamping KL,,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,nos,nos,INR 335.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,,,1.00,Inventory,true,true,true,false,false,false,,,,,,,,false,,
