Product ID,Product Name,Usage unit,Description,Product Type,AttributeName1,AttributeName2,AttributeName3,Manufacturer,Brand,Is Returnable Item,Is Receivable Service,Category Name,Variant Type,Variant Name,Variant Description,Selling Price,MRP,SKU,Purchase Price,Purchase Description,AttributeOption1,AttributeOption2,AttributeOption3,Opening Stock,Opening Stock Value,Inventory Valuation Method,HSN/SAC,Is Tax Calculated on Label Price,UPC,EAN,ISBN,Part Number,Reorder Level,Package weight,Package width,Package height,Package length,Dimension Unit,Weight Unit,Taxable,Exemption Reason,Taxability Type,Intra State Tax Name,Intra State Tax Rate,Intra State Tax Type,Inter State Tax Name,Inter State Tax Rate,Inter State Tax Type,Item.CF.No of pcs in Master carton
99381000000540011,TABLE TOP SCALE PC (GREEN-AY),no,,goods,,,,,,true,,WEIGHING SCALE IMPORT,Inventory,ATM PC AD Red,"Max: 20kg  Min : 40g e : 2g Class III
Display : Red",INR 1550.00,INR 3875.00,ATM30RAD,INR 1115.00,"Max: 20kg  Min : 40g e : 2g Class III
Display : Red",,,,0.00,INR 0.00,fifo,84238190,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000000540072,Density Balance X600-2CM (610g/0.01g),no,,goods,,,,,,true,,ANALYTICAL SCALES,Inventory,Density Balance X600-2CM (610g/0.01g),"Max : 610g, Min : 200mg e: 10mg d: 10mg Class : II",INR 14000.00,INR 26000.00,YSJ612CM,INR 10355.00,"Max : 610g, Min : 200mg e: 10mg d: 10mg Class : II",,,,0.00,INR 0.00,fifo,84238190,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000018459638,Bench Green Keypad,nos,,goods,,,,,,false,,Inactive,Inventory,Bench Green Keypad,,INR 130.00,INR 325.00,BGC205,INR 75.00,,,,,0.00,INR 0.00,fifo,84239020,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,,,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000018459651,"ANDROID POS TERMINAL 15.6"" (WH)",nos,,goods,,,,,,true,,TOUCH POS SYSTEMS,Inventory,"POS TERMINAL 15.6"" Android","RK3566/2GB/32GB DDR3 15.6"" FRONT DISPLAY CAPACITIVE TP ADROID 11 COLOUR -WHITE",INR 21600.00,INR 32000.00,156A,INR 18000.00,"RK3566/2GB/32GB DDR3 15.6"" FRONT DISPLAY CAPACITIVE TP ADROID 11 COLOUR -WHITE",,,,0.00,INR 0.00,fifo,84705010,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000018505237,B3P WEIGHING INDICATOR,nos,,goods,,,,,,true,,WEIGHING INDICATORS,Inventory,B3P WEIGHING INDICATOR,,INR 5000.00,INR 9000.00,B3PIND,INR 4000.00,,,,,0.00,INR 0.00,fifo,84231000,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000018506611,PLATFORM SCALE -BENCH (G-QZ1),nos,,goods,,,,,,false,,INDUSTRIAL SCALES,Inventory,PALLET SCALE,Capacity : 2.5T/0.5kg,INR 25500.00,INR 49000.00,PSC,INR 17172.00,Capacity : 2.5T/0.5kg,,,,0.00,INR 0.00,fifo,84238190,FALSE,,,,,,90.000000,70.000000,58.000000,133.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,1
99381000018506640,CURRENCY COUNTING MACHINE (AL800),nos,,goods,,,,,,true,,CURRENCY COUNTING MACHINES,Inventory,CURRENCY COUNTING MACHINE (AL800),,INR 3600.00,INR 9000.00,AL80,INR 2877.00,,,,,0.00,INR 0.00,fifo,84729090,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000024227715,"DESKTOP PRINETR BT/USB/RJ11 3"" (RECEIPT/LABEL) XP-H500B",nos,,goods,,,,,,true,,PRINTERS & SCANNERS,Inventory,"DESKTOP PRINETR BT/USB/RJ11 3"" (RECEIPT/LABEL) XP-H500B","127mm/s high print speed, 82mm diameter paper roll, Imported ROHM print head",INR 5200.00,INR 13000.00,XPDBP3RL,INR 4300.00,"127mm/s high print speed, 82mm diameter paper roll, Imported ROHM print head",,,,0.00,INR 0.00,fifo,84433290,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000030741137,ECONOMIC BENCH MS,nos,"Size : 30*34 Max: 50kg e: 5g
Dual display, LED RED display,Foldable platform",goods,,,,,,false,,WEIGHING SCALE IMPORT,Inventory,Bench Scale Black  MS,"Size : 30*34 Max: 50kg e: 5g
Dual display, LED RED display,Foldable platform",INR 1950.00,INR 3900.00,BY5039,INR 1508.00,"Size : 30*34 Max: 50kg e: 5g
Dual display, LED RED display,Foldable platform",,,,0.00,INR 0.00,fifo,84238290,FALSE,,,,,,22.000000,40.000000,36.000000,71.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,4
99381000030741152,KITCHEN SCALE 10Kg,nos,Make : YES WEIGH Max: 10kg  Min : 20g e :1g Class III,goods,,,,,,true,,WEIGHING SCALE IMPORT,Inventory,Weighing  Scale 10Kg,Make : YES WEIGH Max: 10kg  Min : 20g e :1g Class III,INR 700.00,INR 2000.00,KS10BAY,INR 490.00,Make : YES WEIGH Max: 10kg  Min : 20g e :1g Class III,,,,0.00,INR 0.00,fifo,84238190,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
