Packing Number,Packing Date,SO Number,Customer Name,Status,Item Name,SKU,Quantity Packed,Item Price,Kit Combo Item Name,Serial Numbers,Batch ID,Batch Reference#,Manufacturer Batch#,Manufactured Date,Expiry Date,Quantity Out,Billing Address,Billing Street2,Billing City,Billing State,Billing Country,Billing Code,Billing Fax,Billing Phone,Shipping Address,Shipping Street2,Shipping City,Shipping State,Shipping Country,Shipping Code,Shipping Fax,Shipping Phone,Notes,Created Time,Last Modified Time
Manjeri,2019-07-04,SO-00020,MEEZAN ELECTRONIC SCALES PRIVATE LIMITED,delivered,Floor scale Parts 1000x1000,PLT1000,2.000000,11500.000000,,,,,,,,,"8/308A Meezan Tower 
Calicut Road , Manjeri",,MANJERI,Kerala,India,676121,,,"8/308A Meezan Tower 
Calicut Road , Manjeri",,MANJERI,Kerala,India,676121,,,,2019-07-04,2025-04-25
Manjeri,2019-07-04,SO-00020,MEEZAN ELECTRONIC SCALES PRIVATE LIMITED,delivered,Floor scale Parts 1200x1200,PLT1200,1.000000,15000.000000,,,,,,,,,"8/308A Meezan Tower 
Calicut Road , Manjeri",,MANJERI,Kerala,India,676121,,,"8/308A Meezan Tower 
Calicut Road , Manjeri",,MANJERI,Kerala,India,676121,,,,2019-07-04,2025-04-25
Manjeri,2019-07-04,SO-00020,MEEZAN ELECTRONIC SCALES PRIVATE LIMITED,delivered,Bench Price computing  scale,BENCHPC,20.000000,1950.000000,,,,,,,,,"8/308A Meezan Tower 
Calicut Road , Manjeri",,MANJERI,Kerala,India,676121,,,"8/308A Meezan Tower 
Calicut Road , Manjeri",,MANJERI,Kerala,India,676121,,,,2019-07-04,2025-04-25
Manjeri,2019-07-04,SO-00020,MEEZAN ELECTRONIC SCALES PRIVATE LIMITED,delivered,Price Computing scale ATM,ATMPC,10.000000,1700.000000,,,,,,,,,"8/308A Meezan Tower 
Calicut Road , Manjeri",,MANJERI,Kerala,India,676121,,,"8/308A Meezan Tower 
Calicut Road , Manjeri",,MANJERI,Kerala,India,676121,,,,2019-07-04,2025-04-25
Manjeri,2019-07-04,SO-00020,MEEZAN ELECTRONIC SCALES PRIVATE LIMITED,delivered,Price Computing scale T (Touch),ATMPCT,5.000000,2400.000000,,,,,,,,,"8/308A Meezan Tower 
Calicut Road , Manjeri",,MANJERI,Kerala,India,676121,,,"8/308A Meezan Tower 
Calicut Road , Manjeri",,MANJERI,Kerala,India,676121,,,,2019-07-04,2025-04-25
PKG-00002,2019-07-30,SO-00051,MEEZAN ELECTRONIC SCALES PRIVATE LIMITED,delivered,Price Computing scale,ATMPC,20.000000,1700.000000,,,,,,,,,"8/308A Meezan Tower 
Calicut Road , Manjeri",,MANJERI,Kerala,India,676121,,,"8/308A Meezan Tower 
Calicut Road , Manjeri",,MANJERI,Kerala,India,676121,,,,2019-08-26,2025-04-25
PKG-00002,2019-07-30,SO-00051,MEEZAN ELECTRONIC SCALES PRIVATE LIMITED,delivered,Price Computing Scale-W,ATMPCW,5.000000,2300.000000,,,,,,,,,"8/308A Meezan Tower 
Calicut Road , Manjeri",,MANJERI,Kerala,India,676121,,,"8/308A Meezan Tower 
Calicut Road , Manjeri",,MANJERI,Kerala,India,676121,,,,2019-08-26,2025-04-25
PKG-00003,2019-07-31,SO-00052,ELMASS SYSTEMS & SERVICES,delivered,Price Computing scale,ATMPC,5.000000,1700.000000,,,,,,,,,"Elmass System & Services
Moonlight House, Lissie Jn
Ernakulam",,Ernakulam,Kerala,India,682018,,,"Elmass System & Services
Moonlight House, Lissie Jn
Ernakulam",,Ernakulam,Kerala,India,682018,,,,2019-08-26,2025-04-25
PKG-00003,2019-07-31,SO-00052,ELMASS SYSTEMS & SERVICES,delivered,Platform scale,BENCHPC,5.000000,1950.000000,,,,,,,,,"Elmass System & Services
Moonlight House, Lissie Jn
Ernakulam",,Ernakulam,Kerala,India,682018,,,"Elmass System & Services
Moonlight House, Lissie Jn
Ernakulam",,Ernakulam,Kerala,India,682018,,,,2019-08-26,2025-04-25
PKG-00003,2019-07-31,SO-00052,ELMASS SYSTEMS & SERVICES,delivered,Price Computing Scale-T,ATMPCT,5.000000,2400.000000,,,,,,,,,"Elmass System & Services
Moonlight House, Lissie Jn
Ernakulam",,Ernakulam,Kerala,India,682018,,,"Elmass System & Services
Moonlight House, Lissie Jn
Ernakulam",,Ernakulam,Kerala,India,682018,,,,2019-08-26,2025-04-25
