PriceList Name,PriceList ID,Currency Code,Description,Percentage,Is Increase,Rounding Type,Decimal Place,PriceList Status,Type,IsDefault,Item Name,SKU,Pricing Scheme,Start Quantity,End Quantity,PriceList Rate,Discount
ATM JR ,99381000003455729,INR,,,false,no_rounding,0,inactive,per_item,false,Price Computing Scale YS889,YS889,volume,501.00,1000.00,1300.000000,
ATM JR ,99381000003455729,INR,,,false,no_rounding,0,inactive,per_item,false,ATM JUNIOR YS669,YS669,volume,100.00,500.00,1350.000000,
ATM JR ,99381000003455729,INR,,,false,no_rounding,0,inactive,per_item,false,ATM JUNIOR YS669,YS669,volume,501.00,1000.00,1300.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Label Printing Scale Q9,Q9LBL,volume,1.00,1.00,14500.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Label Printing scale Q9,TMAQ9,volume,1.00,1.00,14500.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Price Computing scale,ATMPC,volume,1.00,,1800.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Platform Weighing Scale  400x500 SS,PFPC400X500SS,volume,1.00,,4000.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Platform Weighing Scale 400x400 MS,PFPC400X400MS,volume,1.00,9.00,3700.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,DIGITAL KITCHEN SCALE -10Kg,EK6003,volume,1.00,,380.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Platform Weighing Scale 420x520 SS,PFPC420X520SS,volume,1.00,,5700.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,LUGGAGE SCALE,EP3004,volume,1.00,,220.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,GLASS ELECTRONIC PERSONAL SCALE,EB8020,volume,1.00,,550.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,DIGITAL KITCHEN SCALE,EK6005,volume,1.00,,400.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Platform Weighing Scale 600x800 MS (Trolley),PFPC600X800MS,volume,1.00,,15000.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Electronic  Cash scale Q8,ECS5W,volume,1.00,1.00,15500.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Price Computing Scale-Touch,ATMPCT,volume,1.00,,1950.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Price Computing Scale-W,ATMPCW,volume,1.00,19.00,2500.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,Price Computing Scale-W,ATMPCW,volume,20.00,,2350.000000,
INVESTORS,99381000003586995,INR,INVESTORS,,false,no_rounding,0,active,per_item,false,ATM JUNIOR YS669,YS669,volume,1.00,29.00,1790.000000,
