Shipment ID,Packing Number,Shipment Date,Shipment Number,Status,Shipment Type,Carrier Name,Tracking Number,Shipping Charge,Sales Order ID,Expected Delivery Date,Delivery Date,Notes,Created Time,Last Modified Time,SO Number,Customer Name,Shipping Address,Shipping Street2,Shipping City,Shipping State,Shipping Country,Shipping Code,Shipping Fax,Shipping Phone,shipping_attention
99381000000117049,Manjeri,2019-07-04,Nil,delivered,Manual Shipment,aps,,0.000,99381000000112185,,,,2019-07-04 17:49:29,2019-07-23 16:24:03,SO-00020,MEEZAN ELECTRONIC SCALES PRIVATE LIMITED,"8/308A Meezan Tower 
Calicut Road , Manjeri",,MANJERI,Kerala,India,676121,,,Riyas
99381000000221019,PKG-00002,2019-07-30,SHP-SO-00051,delivered,Manual Shipment,aps,,0.000,99381000000170425,,,,2019-08-26 22:52:19,2019-08-26 22:52:19,SO-00051,MEEZAN ELECTRONIC SCALES PRIVATE LIMITED,"8/308A Meezan Tower 
Calicut Road , Manjeri",,MANJERI,Kerala,India,676121,,,Riyas
99381000000221058,PKG-00003,2019-07-31,SHP-SO-00052,delivered,Manual Shipment,aps,,0.000,99381000000170580,,,,2019-08-26 22:52:19,2019-08-26 22:52:19,SO-00052,ELMASS SYSTEMS & SERVICES,"Elmass System & Services
Moonlight House, Lissie Jn
Ernakulam",,Ernakulam,Kerala,India,682018,,,
99381000000221089,PKG-00004,2019-07-30,SHP-SO-00050,delivered,Manual Shipment,aps,,0.000,99381000000172213,,,,2019-08-26 22:52:19,2019-08-26 22:52:19,SO-00050,UNITECH WEIGHING SYSTEM,,,,,,,,,
99381000000221118,PKG-00005,2019-07-31,SHP-SO-00053,delivered,Manual Shipment,aps,,0.000,99381000000172871,,,,2019-08-26 22:52:20,2019-08-26 22:52:20,SO-00053,ELMASS SYSTEMS & SERVICES,"Elmass System & Services
Moonlight House, Lissie Jn
Ernakulam",,Ernakulam,Kerala,India,682018,,,
99381000000221149,PKG-00006,2019-08-01,SHP-SO-00054,delivered,Manual Shipment,aps,,0.000,99381000000175035,,,,2019-08-26 22:52:20,2019-08-26 22:52:20,SO-00054,S&S WEIGHING SYSTEM,Neelima Complex,"Mangattukavala,Todupuzha Easst PO",Idukki,kerala,India,,,,
99381000000221180,PKG-00007,2019-08-01,SHP-SO-00055,delivered,Manual Shipment,aps,,0.000,99381000000177009,,,,2019-08-26 22:52:20,2019-08-26 22:52:20,SO-00055,S&S WEIGHING SYSTEM,Neelima Complex,"Mangattukavala,Todupuzha Easst PO",Idukki,kerala,India,,,,
99381000000221215,PKG-00008,2019-08-03,SHP-SO-00056,delivered,Manual Shipment,aps,,0.000,99381000000182001,,,,2019-08-26 22:52:20,2019-08-26 22:52:20,SO-00056,SANIA SYSTEMS,"No. 2 & 3, Malabar Plaza Opp M.N. Technical College","K. G. Halli, Abbigere Main Road
Jalahalli West Bangaluru - 560015",Bangaluru,Karnataka,,560015,,9036133533,Mr. Shaji
99381000000221248,PKG-00009,2019-08-03,SHP-SO-00057,delivered,Manual Shipment,aps,,0.000,99381000000182018,,,,2019-08-26 22:52:21,2019-08-26 22:52:21,SO-00057,UNITECH WEIGHING SYSTEM,Pullathil Building,Adichira,Kottayam,Kerala,,686028,,9947550783,
99381000000221281,PKG-00010,2019-08-04,SHP-SO-00058,delivered,Manual Shipment,aps,,0.000,99381000000183522,,,,2019-08-26 22:52:21,2019-08-26 22:52:21,SO-00058,DIGITAL SCALE,"Near Stadium,",Mukkam Road,Aeekode,kerala,,673739,,,
