Tax Display Name,Tax Name,Tax Percentage,Tax Type,Account To Track Sales,Start Date,End Date,Tax Status,Tax Specific Type,Country Code
,IGST0,0.000000,tax,Output IGST,,,Active,igst,
,CGST0,0.000000,tax,Output CGST,,,Active,cgst,
,SGST0,0.000000,tax,Output SGST,,,Active,sgst,
,IGST5,5.000000,tax,Output IGST,,,Active,igst,
,SGST2.5,2.500000,tax,Output SGST,,,Active,sgst,
,CGST2.5,2.500000,tax,Output CGST,,,Active,cgst,
,IGST12,12.000000,tax,Output IGST,,2025-09-21,Expired,igst,
,SGST6,6.000000,tax,Output SGST,,2025-09-21,Expired,sgst,
,CGST6,6.000000,tax,Output CGST,,2025-09-21,Expired,cgst,
,IGST18,18.000000,tax,Output IGST,,,Active,igst,
,SGST9,9.000000,tax,Output SGST,,,Active,sgst,
,CGST9,9.000000,tax,Output CGST,,,Active,cgst,
,IGST28,28.000000,tax,Output IGST,,2025-09-21,Expired,igst,
,SGST14,14.000000,tax,Output SGST,,2025-09-21,Expired,sgst,
,CGST14,14.000000,tax,Output CGST,,2025-09-21,Expired,cgst,
,CGST,1.500000,tax,Output CGST,,,Active,cgst,
,SGST,1.500000,tax,Output SGST,,,Active,sgst,
,CESS,1.000000,tax,Output CESS,,,Active,cess,
