Tax Group Name,Tax Name,Tax Percentage,Tax Status
GST0,CGST0,0.000000,Active
GST0,SGST0,0.000000,Active
GST5,SGST2.5,2.500000,Active
GST5,CGST2.5,2.500000,Active
GST12,SGST6,6.000000,Active
GST12,CGST6,6.000000,Active
GST18,SGST9,9.000000,Active
GST18,CGST9,9.000000,Active
GST28,SGST14,14.000000,Active
GST28,CGST14,14.000000,Active
GST 1.5,CGST,1.500000,Inactive
GST 1.5,SGST,1.500000,Inactive
GST 3,CGST,1.500000,Active
GST 3,SGST,1.500000,Active
GST12 & KFC,SGST6,6.000000,Active
GST12 & KFC,CGST6,6.000000,Active
GST12 & KFC,CESS,1.000000,Active
GST18 & KFC,SGST9,9.000000,Inactive
GST18 & KFC,CGST9,9.000000,Inactive
GST18 & KFC,CESS,1.000000,Inactive
GST28 & KFC,SGST14,14.000000,Active
GST28 & KFC,CGST14,14.000000,Active
GST28 & KFC,CESS,1.000000,Active
KERALA FLOOD TAX,SGST9,9.000000,Inactive
KERALA FLOOD TAX,CGST9,9.000000,Inactive
KERALA FLOOD TAX,CESS,1.000000,Inactive
