Vendor Credit Date,Vendor Credit ID,Vendor Credit Number,Entity Type,Branch ID,Branch Name,Vendor Credit Status,Accounts Payable,Vendor Name,Vendor ID,Associated Bill Number,Reference Invoice Type,Currency Code,Exchange Rate,TCS Amount,TCS Tax Name,TCS Percentage,Nature Of Collection,Source of Supply,Destination of Supply,GST Treatment,GST Identification Number (GSTIN),Is Inclusive Tax,Account,Account Code,Item Name,Product ID,SKU,UPC,MPN,EAN,ISBN,Item Desc,Quantity,Usage unit,Warehouse Name,Item Price,HSN/SAC,Is Tax Calculated on Label Price,Tax1 ID,Item Tax,Item Tax %,Item Tax Amount,Item Tax Type,Item Non Advol Cess Amount,Item Exemption Code,Item Type,ITC Eligibility,Reverse Charge Tax Name,Reverse Charge Tax Rate,Reverse Charge Tax Type,Item Total,Supply Type,MRP,SubTotal,Discount Type,Is Discount Before Tax,Entity Discount Percent,Entity Discount Amount,Discount Account,Discount Account Code,Total,Balance,Adjustment,Adjustment Description,Adjustment Account,Notes,Reference#,Batch ID,Batch Reference#,Manufacturer Batch#,Manufactured Date,Expiry Date,Quantity Out,Serial Numbers,Loaction,Project ID,Project Name,TDS Name,TDS Percentage,TDS Section Code,TDS Section,TDS Amount,TDS Calculation Type,Item TDS Name,Item TDS Percentage,Item TDS Amount,Item TDS Section Code,Item TDS Section,CGST Amount,SGST Amount,IGST Amount,CESS Amount
2019-07-02,99381000000108043,01 CN,Vendor Credit,99381000000098082,Cochin,Closed,Accounts Payable,LANA TECHNOLOGIES PVT LTD,99381000000088007,LTP/19-20/00157,,INR,1.00,,,,,KL,KL,business_gst,32AADCL2836R1Z6,false,Furniture and Fittings,,,,,,,,,MAGNETIC BOLT LOCK,1.00,,,2490.00,,FALSE,99381000000006208,GST18,18.00,448.20,Tax Group,,,,eligible,,,,2490.00,,,2490.00,entity_level,true,0.00,0.000,,,2938.20,0.00,0.00,Adjustment,,,8000(1045),,,,,,,,,,,,0.00,,,0.000,item_level,,,0.000,,,224.100,224.100,0.000,0.000
2020-09-04,99381000001340938,056651,Vendor Credit,99381000000098082,Cochin,Closed,Accounts Payable,Meezan electronic scales Pvt Ltd,99381000000005186,INV20-547,,INR,1.00,,,,,KL,KL,business_gst,32AAECM1277C1ZY,false,Discount,,,,,,,,,Discount on ECR ,1.00,,,25330.00,,FALSE,99381000000006208,GST18,18.00,4559.40,Tax Group,,,,eligible,,,,25330.00,,,25330.00,entity_level,true,0.00,0.000,,,29889.40,0.00,0.00,Adjustment,,,,,,,,,,,,,,,0.00,,,0.000,item_level,,,0.000,,,2279.700,2279.700,0.000,0.000
2021-07-27,99381000003726473,CN/01,Vendor Credit,99381000000098082,Cochin,Closed,Accounts Payable,SAFAL ENTERPRISE PVT. LTD.,99381000003372079,SEPL/21-22/500,Registered,INR,1.00,,,,,GJ,KL,business_gst,24ABFCS6034B1ZR,false,Cost of Goods Sold,,TABLE TOP ABS (VIBRANT),99381000001171138,VIBRANT300X240ABS,,,,,Max : 30Kg e:5gm Min: 5kg Class III,1.00,pcs,Cochin,1450.00,84231000,FALSE,99381000000006196,IGST18,18.00,261.00,ItemAmount,,,goods,eligible,,,,1450.00,,,1450.00,entity_level,true,0.00,0.000,,,1711.00,0.00,0.00,Adjustment,,,,,,,,,,,,,,,0.00,,,0.000,item_level,,,0.000,,,0.000,0.000,261.000,0.000
2021-10-01,99381000004282697,CN-2085,Vendor Credit,99381000000098082,Cochin,Closed,Accounts Payable,MARKETXPANDER SERVICES PVT. LTD.,99381000000940942,LS-2021-29470,,INR,1.00,,,,,KA,KL,business_gst,29AAHCM2674E1ZB,false,Internet and IT Charges,,,,,,,,,"Lite plan
Account ID [54318]
Web + Mobile Users 6
Mobile only Users 0
Max Contact/Lead Limit 10,000
# of Automations 0
# of Forms & Process 0
API Rate Limit 2/ 5 sec
Email / Month 500/ Month
Connectors offered NA",1.00,,,7650.00,,FALSE,99381000000006196,IGST18,18.00,1377.00,ItemAmount,,,service,eligible,,,,7650.00,,,7650.00,entity_level,true,0.00,0.000,,,9027.00,0.00,0.00,Adjustment,,,15/09/2021,,,,,,,,,,,,0.00,,,0.000,item_level,,,0.000,,,0.000,0.000,1377.000,0.000
2021-10-25,99381000004282721,CN-2280,Vendor Credit,99381000000098082,Cochin,Closed,Accounts Payable,MARKETXPANDER SERVICES PVT. LTD.,99381000000940942,LS-2021-29470,,INR,1.00,,,,,KA,KL,business_gst,29AAHCM2674E1ZB,false,Internet and IT Charges,,,,,,,,,"Lite plan
Account ID [54318]
Web + Mobile Users 6
Mobile only Users 0
Max Contact/Lead Limit 10,000
# of Automations 0
# of Forms & Process 0
API Rate Limit 2/ 5 sec
Email / Month 500/ Month
Connectors offered NA",1.00,,,4080.00,,FALSE,99381000000006196,IGST18,18.00,734.40,ItemAmount,,,service,eligible,,,,4080.00,,,4080.00,entity_level,true,0.00,0.000,,,4814.00,0.00,-0.40,Adjustment,Other Expenses,,,,,,,,,,,,,,0.00,,,0.000,item_level,,,0.000,,,0.000,0.000,734.400,0.000
2021-11-08,99381000004445691,1127366ACN,Vendor Credit,99381000000098082,Cochin,Closed,Accounts Payable,CROWN PLAZA (KGA HOTELS & RESORTS PVT LTD ),99381000003996628,0001127366,,INR,1.00,,,,,KL,KL,business_gst,32AADCM3357Q1Z5,false,Meeting Expenses,,,,,,,,,Banquet Food HT,1.00,,,22500.00,,FALSE,99381000000006208,GST18,18.00,4050.00,Tax Group,,,service,eligible,,,,22500.00,,,22500.00,entity_level,true,0.00,0.000,,,26550.00,0.00,0.00,Adjustment,,,,,,,,,,,,,,,0.00,,,0.000,item_level,,,0.000,,,2025.000,2025.000,0.000,0.000
2022-03-10,99381000005164929,2021109277,Vendor Credit,99381000000098082,Cochin,Closed,Accounts Payable,PAYTM PAYMENTS SERVICES LIMITED,99381000004445481,3040107628,Registered,INR,1.00,,,,,UP,KL,business_gst,09AALCP4925F1Z6,false,Paytm service charge,,,,,,,,,Paytm service charge,1.00,,,20.00,,FALSE,99381000000006196,IGST18,18.00,3.60,ItemAmount,,,service,eligible,,,,20.00,,,20.00,entity_level,true,0.00,0.000,,,24.00,0.00,0.40,Adjustment,Other Expenses,,,,,,,,,,,,,,0.00,,,0.000,item_level,,,0.000,,,0.000,0.000,3.600,0.000
2022-05-25,99381000005580945,CN1396421,Vendor Credit,99381000000098082,Cochin,Closed,Accounts Payable,Asianet Sattellite Communications Private Limited,99381000003135835,RCN062200301,Registered,INR,1.00,,,,,KL,KL,business_gst,32AAECA5548E1Z0,false,Internet and IT Charges,,,,,,,,,AMC IYEAR CHARGE DISCOUNT,1.00,,,338.98,,FALSE,99381000000006208,GST18,18.00,61.02,Tax Group,,,service,eligible,,,,338.98,,,338.98,entity_level,true,0.00,0.000,,,400.00,0.00,0.00,Adjustment,,,,,,,,,,,,,,,0.00,,,0.000,item_level,,,0.000,,,30.510,30.510,0.000,0.000
2023-01-10,99381000007319540,102223CN-003767,Vendor Credit,99381000000098082,Cochin,Closed,Accounts Payable,Zoho Technologies Pvt. Ltd.,99381000000897654,102223016889,,INR,1.00,,,,,TN,KL,business_gst,33AAACZ5230C1ZU,false,Internet and IT Charges,,,,,,,,,"110534S
Service : Zoho Books
Plan : Premium
Users : 8 
Start 20 December 2022 End 09 May 
2023
SAC: 997331",1.00,,,4293.33,,FALSE,99381000000006196,IGST18,18.00,772.80,ItemAmount,,,service,eligible,,,,4293.33,,,4293.33,entity_level,true,0.00,0.000,,,5066.13,0.00,0.00,Adjustment,,,,,,,,,,,,,,,0.00,,,0.000,item_level,,,0.000,,,0.000,0.000,772.800,0.000
2023-03-15,99381000008548861,KB00000702138919,Vendor Credit,99381000000098082,Cochin,Closed,Accounts Payable,KOTAK MAHINDRA BANK LTD,99381000003198159,KB00000691020966,,INR,1.00,,,,,KL,KL,business_gst,32AAACK4409J1ZT,false,Bank Fees and Charges,,Outward bank commision,99381000003205427,OBC,,,,,,1.00,no,,2722.85,997157,FALSE,99381000000006208,GST18,18.00,490.12,Tax Group,,,service,eligible,,,,2722.85,,,2722.85,entity_level,true,0.00,0.000,,,3212.97,0.00,0.00,Adjustment,,,,,,,,,,,,,,,0.00,,,0.000,item_level,,,0.000,,,245.060,245.060,0.000,0.000
