sku,name,locations
01MG101,0.1MG Windshield,
01MG102,0.1MG Machine Base,
01MG103,0.1MG SS Platter,
01MG104,0.1MG SS ADAPTOR,
14FRC,FRC CABLE (14 PIN),"N · 1 · 1, N · 1 · 2"
202SSBODY,INDICATOR BODY SS -6 key set,
2PINCW,Power Cord 2 PIN,"B · 2 · 1, B · 3 · 2, M · 6 · 2"
3PINCW,CodeWire 3Pin,B · 3 · 2
400A,ALFA-SF,
4PINC,4 Pin Metal Connector,E · 4 · 1
A10POS,TOUCH POS A10,
A12BOARD,A12 printer interface board,
A12PRT,A12 FULL PRINTER SET,A · 6 · 1
A1Q3BAT,LI-ION A1Q3,P · 3 · 1
A1Q7BAT,LI-ION A1Q7,
A1ROLLER,RUBBER ROLLER FOR HAND HELD POS,
A5PRT,PRINTER HEAD WITH ROLLER A5,A · 6 · 1
ACS779DSAMPLE,ACS-779D,
ACS825BSAMPLE,ACS 825B,
ACS826BSAMPLE,ACS-826B,
ACSJL809B,ANALYTICAL SCALE  - 2KG,
ACSJL999,WATER PROOF SCALE,
ADAPTORPS30X40,Adaptor (Post scale 30x40),
AIEDCASE,AI SCALE REAR DISPLAY CASE,B · 4 · 2
AILCDREAR,AI POS LED REAR DISPLAY,M · 4 · 3
AIPRT,AI FULL PRINTER SET,A · 6 · 1
AM69MS,PLATFORM SCALE 600X900  (200kg)-EG,
APC201,ATM PC Metalic Keypad,F · 1 · 1
APC202,ATM PC KEYPAD BOARD,
APC203,ATM PC Panel Sticker (Front and Back),
APC205,Power Cord Connector Port,
APC206,ATM PC FRONT DISPLAY BOARD,
APC207,ATM PC/JUNIOR Back Display Board,"G · 1 · 3, G · 4 · 2, G · 4 · 3"
APC208,Load Cell 40kg ATM PC/TOUCH/JUNIOR/WATERPROOF,
APC2091,BATTERY 4V 4.5AH UPLUS,
APC210,KEYPAD POUCH,
APC211,Body set ATM PC,
APC214,ATM PC WEIGH PAN,
APCG201,ATM PC GREEN FRONT DISPLAY,
APCJ101,BODY SET ATM JUNIOR,
APCJ102,KEYPAD BOARD ATM JUNIOR,"J · 4 · 1, J · 4 · 3"
APCJ104,ATM PC JUNIOR PAN,
APCJ105,ATM JUNIOR FRONT DISPLAY (BI COLOR),G · 1 · 1
APCJ106,ATM JUNIOR FRONT DISPLAY STICKER,"L · 5 · 5, M · 1 · 1, Q · 1 · 1"
APCJ122,ATM Junior Dust cover,
APCJ201,ATM JUNIOR FRONT DISPLAY(GREEN),F · 5 · 3
APCJ202,ATM JUNIOR Back Display Board(GREEN),F · 4 · 1
APCLEG,ATM PC LEG,A · 1 · 2
APCPQ001,APCQ BottomFront Display,G · 1 · 2
APCPQ002,APCPQ Pole Display case,
APCPQ003,APCPQ Pole Display,
APCPQ004,APCPQ Body set bottom case,
APCPQ005,APCPQ Body set top case,
APCPQ006,APCPQ Keypad,
APCPQ007,APCPQ Leg,
APCPQ008,APCPQ Pan,
APCPQ009,APCQ Pole pipe,
APCPQ010,APCPQ Power code connector,
APCPQ011,APCPQ Pan holder,
APCPQ012,APCPQ Pole connector,
APCPQ013,APCPQ DISPLAY STICKER,
APCPQ014,APCPQ  FRONT DISPLAY STICKER,
APCPQ015,APCPQ DUST COVER,
APCT114,MOTHER BOARD ATM PC TOUCH,
ATM20GAD101,ATM20GAD TOP BODY CASE,
ATM20GAD102,ATM30GAD BOTTOM BODY CASE,
ATM20GAD103,ATM20GAD DISPLAY STICKER,
ATM20GAD106,ATM20GAD KEYPAD,
ATM20GAD619101,ATM20GAD619 TOP BODY CASE,
ATM20GAD619102,ATM20GAD619  BOTTOM BODY CASE,
ATM20GAD619103,ATM20GAD619 PAN,
ATM20GADLEG,ATM20GAD LEG,A · 2 · 4
ATM30DAD101,ATM30DAD1 Body set top case,
ATM30DAD102,ATM30DAD1 Body set bottom case,
ATM30DAD103,ATM30DAD1 PAN bush Leg,
ATM30DAD104,ATM30DAD1 Display front and back (dual LED),G · 3 · 2
ATM30DAD105,ATM30DAD1 Dust Cover,
ATM30DADEC106,OVERLAY STICKER ATM30DADEC FRONT,
ATM30DADEC107,OVERLAY STICKER ATM30DADEC  BACK,
ATM30RAD001,ATM30RAD BODY BASE (BOTTOM),
ATM30RAD002,ATM30RAD DISPLAY RED COLOUR,
ATM30RAD003,ATM30RAD TOP BODY CASE,
ATM30RAD004,OVERLAY STICKER ATM30RAD FRONT,
ATM30RAD005,OVERLAY STICKER ATM30RAD BACK,
ATMPCFSSSMPS,ATMPCDQZ TRANSFORMER/SMPS (ACS-SS),
ATMPCR1,TABLE TOP WEIGHING SCALE,
ATMPCT,Price Computing Scale-T,
ATMPCWH101,AY ATMPC-WH Body set (Top),
ATMPCWH102,AY ATMPC-WH Body set (Base),
ATMPCWH103,AY ATM PC-WH Weigh pan leg,
ATMPCWH104,AY ATM PC-WH Front Display board,
ATMPCWH105,AY ATM PC-WH Front Display Sticker,Q · 1 · 1
ATMPCWH106,AY ATM PC-WH Back Display Sticker,
ATMPCWH107,AY ATM PC-Pan,
ATMPCWH110,ATMPCWH Dustcover,
BAT6V,BATTERY 6V 4.5AH,
BATTERYPS30X40,Battery (Post scale body 30x40),
BEN30X40SSM,ELECTRONIC PLATFORM SCALE 50-100kg(M),
BENCHPCG,PLATFORM SCALE,
BGC201,Bench Green Loadcell Cap,
BGC202,Bench Green Loadcell -130kg,
BGC203,Bench Green Motherboard,
BGC204,Bench Green Front & Back Display,
BGC206,Bench Green Leg,
BGC210,DIGIT WITH DECIMAL,
BGC211,DIGIT WITHOUT DECIMAL DECIMAL (GREEN),
BGC212,STEEL PAN (OEM BENCH),
BGC213,Plastic Housing Keyboard(OEM Bench),
BLIC,BLUETOOTH IC,Q · 6 · 2
BOE,Boe Reminder Charge,
BPC101,Bench PC Metallic Keypad pouch,
BPC102,Bench PC Keypad Board,"J · 5 · 1, J · 5 · 2, J · 6 · 1, J · 6 · 2"
BPC103,Bench PC Panel Overlay Sticker,"L · 1 · 2, Q · 1 · 1"
BPC104,Bench PC Protection Dust Cover,
BPC105,Power Cord with connector,B · 2 · 2
BPC106,Bench PC Load Cell Protection cover,
BPC108,Bench PC Battery To Board 2 Pin,
BPC109,Bench PC Transformer Box,Q · 6 · 5
BPC110,Bench PC On/Off Switch,B · 5 · 2
BPC111,Bench PC Front Display Board (Red),H · 2 · 2
BPC112,Bench PC Back Display Board (Red),"G · 6 · 1, H · 2 · 3"
BPC113,Bench PC Load Cell 70kg,
BPC114,ATM/BENCH PC MOTHER BOARD,K · 5 · 1
BPC115,Metallic Keypad Cover Bench PC,
BPC116,BOTTOM CASE BENCH PC,
BPC117,TOP CASE BENCH PC,
BPC118,Load Cell 130 KG,"D · 3 · 2, D · 4 · 2"
BPC120,Bench Pc (bicolor) front display,
BPC124,YS 50G Lock Spring,
BPC50DAD201,BPC50DAD2 WEIGHING PAN,
BPC50DAD205,BPC50DAD2 Dust Cover,
BPC50DAD206,BPC50DAD2 Loadcell Protection cover,
BPC50DAD207,BPC50DAD2 Loadcell and Indicator connector,
BPCG001,BENCH PC GREEN FRONT&BACK DISPLAY,
BPCG004,BENCH PC GREEN KEYPAD,
BPCG005,BENCH PC GREEN MAIN BOARD,"F · 5 · 1, K · 7 · 4"
BPCG010,YS 50G Dustcover,
BPCGQZ1001,BPCGQZ1 DISPLAY,
BPCGQZ1002,BPCGQZ1 KEYBOARD,
BPCGQZ1003,BPCGQZ1 PAN,
BPCGQZ1004,BPCGQZ1 HOUSING FRONT,
BPCGQZ1005,BPCGQZ1 HOUSING BACK,
BPCGQZ1006,BPCGQZ1 DUST COVER,
BPCLEG,Bench  Machine Leg,"A · 1 · 1, A · 1 · 3"
BPLT001,Bench PLT Display Front & Back,
BPLT003,Bench PLT Motherboard,
BPLT005,Bench PLT Switch,
BPLT008,Battery 4v 4Ah,"E · 1 · 1, K · 1 · 1, K · 1 · 2, P · 2 · 1"
BPLT009,Bench PLT Indicator Cover Base,
BPLT010,Bench PLT Indicator Cover Top,
BPLT011,Bench PLT SMPS,
BPR001,Printer Bench Pro,P · 2 · 2
BPR002,Bluetooth module Bpro,P · 3 · 2
BPR003,Motherboard Bpro,P · 2 · 2
BS0501,JW Display & Motherboard Set,K · 6 · 4
BS0502,JW Loadcell 1 Kg,
BS0504,JW Cabinet Base,
BY001,BY Display Bench Front and Back (Green LED),
BY002,BY Display Bench Front and Back (Red LED),"F · 6 · 1, F · 6 · 2"
BY003,BY Display ATMPCP Front and Back (Green LED),"G · 2 · 1, G · 2 · 2, G · 2 · 3, N · 4 · 2"
BY004,BY Keypad Bench 4x5,
BY005,BY Keypad ATMPCP & ATMPCW,
BY006,BY Motherboard Bench & ATMPCP,
BY007,BY Motherboard ATMPCW,F · 5 · 2
BY008,BY ATMPCP Body Set( Base),
BY009,BY ATMPCW Body Set,
BY010,BY Front/Rear Housing for Bench,
BY011,BY Weighing PAN for Bench(YS5010SS),
BY012,BY Weighing PAN for Bench(BY5039E),
BY013,BY Weighing PAN for ATMPCP & ATMPCW,
BY014,BY Front/Rear Housing for Indicator DY5037,
BY015,BY ATMPCW Display Front and Back( Red LED),"F · 3 · 1, F · 3 · 2, F · 3 · 3"
BY016,BY ATMPCP PIPE POLE,J · 6 · 3
BY017,BY ATMPCP POLE CONNECTOR,"J · 6 · 3, Q · 5 · 2"
BY018,BY ATMPCP FRONT/REAR HOUSING,J · 6 · 3
BY019,BY Bench Dual Display Front & Back (Green & Red LED),D · 6 · 1
BY020,BY Motherboard Bench & ATMPCW,
BY021,BY Front/Rear Housing for Bench G TYPE,
BY5030GG,Platform Weighing Scale(GG),
CAD5V2A,Adapter 5v 2a type C,A · 6 · 1
CALSR,Calibration Screw with hole,
CARRIAGEFEE,Freight,
CB,CARTON BOX,
CCM101,CCM DISPLAY UNIT FRONT,
CCM101AL800,CCM DISPLAY UNIT FRONT - AL800,
CCM102,AC MOTOR CCM,P · 1 · 1
CCM103,DC MOTOR CCM,
CCM104,DENOMINATION IR LED CCM,
CCM105,UV SENSOR CCM,
CCM105AL800,UV SENSOR CCM-AL800,
CCM106,STACKER SENSOR (IR EMITTER & RECEIVER)CCM,
CCM106AL800,STACKER SENSOR (IR EMITTER & RECEIVER)CCM-AL800,
CCM107,HOPPER SENSOR CCM,
CCM107AL800,HOPPER SENSOR CCM-AL800,
CCM108,ENCODING SENSOR CCM,
CCM108AL800,ENCODING SENSOR CCM-AL800,
CCM109,SIDE KEYPAD CCM,M · 4 · 3
CCM110,C.M TRANSFORMER CCM,Q · 5 · 4
CCM110AL800,C.M TRANSFORMER CCM  -AL800,
CCM111,MAGNETIC & DENOMINATION SENSOR WITH FRAME CCM,
CCM112,MOTHER BOARD CCM,K · 6 · 3
CCM112AL800,MOTHER BOARD CCM-AL800,
CCM113,MG Sensor CCM,
CCM114,CCM DISPLAY KEYPAD,
CCM114AL800,CCM DISPLAY KEYPAD-AL800,
CCM115,CCM ROTATE WHEEL,M · 6 · 1
CCM116,CCM COUNTING SENSOR,
CCM116AL800,CCM COUNTING SENSOR -AL800,
CCM117,CCM DONGLE,M · 4 · 4
CCM118,CCM LCD DISPLAY,
CCM119,CAPACITOR -CCM,
CCM120,RUBBER PAD - CCM,
CDLOCK,CASH DRAWER  LOCK WITH 2 KEYS,
